Starting Wi-Fi RTT Ranging...
Label: 11-5, Timestamp: 2025-01-10 13:18:56.952, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -67, Distance: 1253 mm, StdDev: 85 mm, timeStemp: 7254727339, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:56.952, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -60, Distance: 5517 mm, StdDev: 1028 mm, timeStemp: 7254727339, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:56.952, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -69, Distance: 3145 mm, StdDev: 223 mm, timeStemp: 7254727339, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:56.952, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -64, Distance: 5907 mm, StdDev: 128 mm, timeStemp: 7254727339, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:57.056, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -57, Distance: 991 mm, StdDev: 150 mm, timeStemp: 7254727442, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:57.056, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -57, Distance: 991 mm, StdDev: 150 mm, timeStemp: 7254727442, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:57.056, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -63, Distance: 5576 mm, StdDev: 1117 mm, timeStemp: 7254727442, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:57.056, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -57, Distance: 991 mm, StdDev: 150 mm, timeStemp: 7254727442, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:57.056, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -63, Distance: 5576 mm, StdDev: 1117 mm, timeStemp: 7254727442, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:57.056, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -68, Distance: 3178 mm, StdDev: 936 mm, timeStemp: 7254727442, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:57.056, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -57, Distance: 991 mm, StdDev: 150 mm, timeStemp: 7254727442, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:57.056, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -63, Distance: 5576 mm, StdDev: 1117 mm, timeStemp: 7254727442, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:57.056, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -68, Distance: 3178 mm, StdDev: 936 mm, timeStemp: 7254727442, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:57.056, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -66, Distance: 5350 mm, StdDev: 265 mm, timeStemp: 7254727442, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:57.338, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -63, Distance: 1596 mm, StdDev: 195 mm, timeStemp: 7254727723, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:57.338, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -63, Distance: 1596 mm, StdDev: 195 mm, timeStemp: 7254727723, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:57.338, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -66, Distance: 4072 mm, StdDev: 500 mm, timeStemp: 7254727723, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:57.338, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -63, Distance: 1596 mm, StdDev: 195 mm, timeStemp: 7254727723, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:57.338, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -66, Distance: 4072 mm, StdDev: 500 mm, timeStemp: 7254727723, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:57.338, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -64, Distance: 3061 mm, StdDev: 994 mm, timeStemp: 7254727723, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:57.338, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -63, Distance: 1596 mm, StdDev: 195 mm, timeStemp: 7254727723, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:57.338, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -66, Distance: 4072 mm, StdDev: 500 mm, timeStemp: 7254727723, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:57.338, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -64, Distance: 3061 mm, StdDev: 994 mm, timeStemp: 7254727723, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:57.338, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -65, Distance: 5789 mm, StdDev: 110 mm, timeStemp: 7254727723, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:57.614, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -63, Distance: 1157 mm, StdDev: 150 mm, timeStemp: 7254728003, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:57.614, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -63, Distance: 1157 mm, StdDev: 150 mm, timeStemp: 7254728003, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:57.614, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -63, Distance: 3577 mm, StdDev: 1033 mm, timeStemp: 7254728003, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:57.614, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -63, Distance: 1157 mm, StdDev: 150 mm, timeStemp: 7254728003, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:57.614, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -63, Distance: 3577 mm, StdDev: 1033 mm, timeStemp: 7254728003, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:57.614, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -70, Distance: 3217 mm, StdDev: 707 mm, timeStemp: 7254728003, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:57.614, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -63, Distance: 1157 mm, StdDev: 150 mm, timeStemp: 7254728003, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:57.614, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -63, Distance: 3577 mm, StdDev: 1033 mm, timeStemp: 7254728003, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:57.614, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -70, Distance: 3217 mm, StdDev: 707 mm, timeStemp: 7254728003, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:57.614, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -65, Distance: 5233 mm, StdDev: 461 mm, timeStemp: 7254728003, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:57.876, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -58, Distance: 1098 mm, StdDev: 123 mm, timeStemp: 7254728269, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:57.876, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -58, Distance: 1098 mm, StdDev: 123 mm, timeStemp: 7254728269, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:57.876, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -65, Distance: 3682 mm, StdDev: 696 mm, timeStemp: 7254728269, mcOn: true
