Starting Wi-Fi RTT Ranging...
Label: 11-3, Timestamp: 2025-01-03 19:37:46.984, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -57, Distance: 5400 mm, StdDev: 760 mm, timeStemp: 6672657374, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:46.984, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -74, Distance: 5249 mm, StdDev: 1821 mm, timeStemp: 6672657374, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:46.984, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -60, Distance: 1776 mm, StdDev: 1306 mm, timeStemp: 6672657374, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.108, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -54, Distance: 73 mm, StdDev: 835 mm, timeStemp: 6672657500, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.108, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -54, Distance: 73 mm, StdDev: 835 mm, timeStemp: 6672657500, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.108, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -58, Distance: 5479 mm, StdDev: 616 mm, timeStemp: 6672657500, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.108, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -54, Distance: 73 mm, StdDev: 835 mm, timeStemp: 6672657500, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.108, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -58, Distance: 5479 mm, StdDev: 616 mm, timeStemp: 6672657500, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.108, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -75, Distance: 5366 mm, StdDev: 151 mm, timeStemp: 6672657500, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.108, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -54, Distance: 73 mm, StdDev: 835 mm, timeStemp: 6672657500, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.108, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -58, Distance: 5479 mm, StdDev: 616 mm, timeStemp: 6672657500, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.108, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -75, Distance: 5366 mm, StdDev: 151 mm, timeStemp: 6672657500, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.108, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -63, Distance: 2742 mm, StdDev: 973 mm, timeStemp: 6672657500, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.230, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -53, Distance: -453 mm, StdDev: 317 mm, timeStemp: 6672657622, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.230, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -53, Distance: -453 mm, StdDev: 317 mm, timeStemp: 6672657622, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.230, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -59, Distance: 6719 mm, StdDev: 757 mm, timeStemp: 6672657622, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.230, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -53, Distance: -453 mm, StdDev: 317 mm, timeStemp: 6672657622, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.230, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -59, Distance: 6719 mm, StdDev: 757 mm, timeStemp: 6672657622, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.230, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -72, Distance: 5210 mm, StdDev: 195 mm, timeStemp: 6672657622, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.230, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -53, Distance: -453 mm, StdDev: 317 mm, timeStemp: 6672657622, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.230, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -59, Distance: 6719 mm, StdDev: 757 mm, timeStemp: 6672657622, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.230, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -72, Distance: 5210 mm, StdDev: 195 mm, timeStemp: 6672657622, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.230, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -63, Distance: 3241 mm, StdDev: 2398 mm, timeStemp: 6672657622, mcOn: true
