Starting Wi-Fi RTT Ranging...
Label: 6-8, Timestamp: 2025-01-10 13:48:27.583, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -64, Distance: 5132 mm, StdDev: 505 mm, timeStemp: 7256497974, mcOn: true
Label: 6-8, Timestamp: 2025-01-10 13:48:27.583, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 5723 mm, StdDev: 1456 mm, timeStemp: 7256497974, mcOn: true
Label: 6-8, Timestamp: 2025-01-10 13:48:27.583, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -54, Distance: 1128 mm, StdDev: 997 mm, timeStemp: 7256497974, mcOn: true
Label: 6-8, Timestamp: 2025-01-10 13:48:27.583, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -60, Distance: 2469 mm, StdDev: 488 mm, timeStemp: 7256497974, mcOn: true
Label: 6-8, Timestamp: 2025-01-10 13:48:27.705, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -67, Distance: 5366 mm, StdDev: 1181 mm, timeStemp: 7256498097, mcOn: true
Label: 6-8, Timestamp: 2025-01-10 13:48:27.705, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -67, Distance: 5366 mm, StdDev: 1181 mm, timeStemp: 7256498097, mcOn: true
Label: 6-8, Timestamp: 2025-01-10 13:48:27.705, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -59, Distance: 5723 mm, StdDev: 1624 mm, timeStemp: 7256498097, mcOn: true
Label: 6-8, Timestamp: 2025-01-10 13:48:27.705, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -67, Distance: 5366 mm, StdDev: 1181 mm, timeStemp: 7256498097, mcOn: true
Label: 6-8, Timestamp: 2025-01-10 13:48:27.705, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -59, Distance: 5723 mm, StdDev: 1624 mm, timeStemp: 7256498097, mcOn: true
Label: 6-8, Timestamp: 2025-01-10 13:48:27.705, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -55, Distance: 1098 mm, StdDev: 957 mm, timeStemp: 7256498097, mcOn: true
Label: 6-8, Timestamp: 2025-01-10 13:48:27.705, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -67, Distance: 5366 mm, StdDev: 1181 mm, timeStemp: 7256498097, mcOn: true
Label: 6-8, Timestamp: 2025-01-10 13:48:27.705, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -59, Distance: 5723 mm, StdDev: 1624 mm, timeStemp: 7256498097, mcOn: true
