timeStemp,Label,AP1_Distance (mm),AP2_Distance (mm),AP3_Distance (mm),AP4_Distance (mm),AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,AP1_StdDev (mm),AP2_StdDev (mm),AP3_StdDev (mm),AP4_StdDev (mm)
605542690,2-1,6284.0,6460.0,9580.0,-928.0,-65.0,-71.0,-64.0,-60.0,208.0,934.0,706.0,609.0
605542702,2-1,6460.0,6636.0,9932.0,-733.0,-66.0,-72.0,-65.0,-58.0,1292.0,1018.0,420.0,705.0
605542714,2-1,6499.0,7104.0,9971.0,-499.0,-66.0,-71.0,-66.0,-57.0,1158.0,1092.0,489.0,548.0
605542726,2-1,6499.0,7514.0,9736.0,-772.0,-67.0,-72.0,-63.0,-59.0,1190.0,1101.0,590.0,646.0
605542739,2-1,6303.0,8921.0,9892.0,-694.0,-64.0,-70.0,-62.0,-56.0,1093.0,879.0,612.0,2167.0
605542751,2-1,6264.0,6753.0,9593.0,-733.0,-68.0,-72.0,-63.0,-52.0,1160.0,1328.0,743.0,612.0
605542763,2-1,6343.0,6665.0,10088.0,-733.0,-67.0,-72.0,-64.0,-50.0,1178.0,1525.0,338.0,665.0
605542776,2-1,6499.0,6870.0,9632.0,-772.0,-64.0,-70.0,-62.0,-55.0,1348.0,1385.0,667.0,433.0
605542788,2-1,6264.0,6870.0,9775.0,-1233.0,-63.0,-70.0,-64.0,-47.0,1316.0,1267.0,585.0,1291.0
605542800,2-1,6264.0,6987.0,9814.0,-772.0,-62.0,-70.0,-63.0,-57.0,1244.0,1035.0,554.0,953.0
605542813,2-1,6499.0,6811.0,9671.0,-811.0,-65.0,-71.0,-62.0,-57.0,1246.0,1533.0,650.0,882.0
605542827,2-1,6616.0,6899.0,9658.0,-811.0,-64.0,-70.0,-64.0,-57.0,1158.0,1236.0,594.0,1028.0
605542841,2-1,6382.0,6870.0,9892.0,-772.0,-65.0,-71.0,-64.0,-56.0,1274.0,1347.0,477.0,892.0
605542856,2-1,6460.0,6928.0,9814.0,-811.0,-65.0,-70.0,-63.0,-56.0,1234.0,1162.0,506.0,992.0
605542871,2-1,6460.0,6753.0,9775.0,-801.0,-65.0,-70.0,-63.0,-51.0,1279.0,1305.0,543.0,937.0
605542885,2-1,6577.0,6548.0,9775.0,-733.0,-64.0,-71.0,-64.0,-57.0,1148.0,1413.0,536.0,846.0
605542899,2-1,6382.0,6782.0,9932.0,-772.0,-65.0,-70.0,-64.0,-58.0,1261.0,1396.0,448.0,932.0
605542913,2-1,6460.0,6987.0,9775.0,-811.0,-64.0,-70.0,-64.0,-58.0,1219.0,1270.0,680.0,1009.0
605542928,2-1,6382.0,7016.0,9853.0,-811.0,-65.0,-70.0,-62.0,-57.0,1243.0,1408.0,459.0,1041.0
605542941,2-1,6460.0,6987.0,9775.0,-1738.0,-65.0,-71.0,-64.0,-49.0,1264.0,1373.0,549.0,1779.0
605542956,2-1,6499.0,6870.0,9853.0,-811.0,-63.0,-71.0,-64.0,-58.0,1236.0,1172.0,517.0,1026.0
605542971,2-1,6343.0,6967.0,9775.0,-772.0,-64.0,-71.0,-64.0,-57.0,1247.0,1258.0,522.0,920.0
605542985,2-1,6421.0,6928.0,9814.0,-831.0,-64.0,-70.0,-60.0,-53.0,1297.0,1219.0,581.0,1017.0
605542999,2-1,6421.0,6723.0,9853.0,-889.0,-64.0,-70.0,-64.0,-57.0,1238.0,1321.0,510.0,1021.0
605543014,2-1,6225.0,6987.0,9814.0,-889.0,-64.0,-71.0,-64.0,-50.0,1378.0,1230.0,535.0,963.0
605543028,2-1,,,,-772.0,,,,-56.0,,,,1105.0
605543029,2-1,6694.0,7046.0,9814.0,,-64.0,-71.0,-63.0,,1153.0,1199.0,557.0,
605543043,2-1,6382.0,6928.0,9795.0,-928.0,-64.0,-70.0,-62.0,-49.0,1246.0,1240.0,502.0,1105.0
605543058,2-1,6655.0,6899.0,9944.0,-811.0,-64.0,-71.0,-62.0,-58.0,1115.0,1234.0,511.0,1089.0
605543072,2-1,6460.0,6987.0,9892.0,-811.0,-64.0,-70.0,-63.0,-51.0,1147.0,1209.0,497.0,1035.0
605543085,2-1,6538.0,6987.0,9932.0,-1233.0,-65.0,-70.0,-62.0,-50.0,1225.0,1287.0,423.0,908.0
605543098,2-1,6421.0,6928.0,9775.0,-889.0,-56.0,-70.0,-60.0,-57.0,1197.0,1342.0,722.0,1075.0
605543110,2-1,6577.0,6928.0,9775.0,-733.0,-65.0,-70.0,-64.0,-50.0,1219.0,1376.0,578.0,1180.0
605543124,2-1,6225.0,6928.0,9795.0,-772.0,-64.0,-70.0,-63.0,-57.0,1322.0,1454.0,509.0,1047.0
605543139,2-1,6577.0,6958.0,9814.0,-919.0,-64.0,-70.0,-63.0,-57.0,1146.0,1321.0,535.0,1101.0
