Starting Wi-Fi RTT Ranging...
Label: 11-8, Timestamp: 2024-12-27 15:44:39.859, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -72, Distance: 4049 mm, StdDev: 456 mm, timeStemp: 6053860497, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:39.859, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -72, Distance: 4049 mm, StdDev: 456 mm, timeStemp: 6053860497, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:39.859, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -43, Distance: 4537 mm, StdDev: 620 mm, timeStemp: 6053860497, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:39.859, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -72, Distance: 4049 mm, StdDev: 456 mm, timeStemp: 6053860497, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:39.859, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -43, Distance: 4537 mm, StdDev: 620 mm, timeStemp: 6053860497, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:39.859, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -69, Distance: 4719 mm, StdDev: 121 mm, timeStemp: 6053860497, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:39.859, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -72, Distance: 4049 mm, StdDev: 456 mm, timeStemp: 6053860497, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:39.859, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -43, Distance: 4537 mm, StdDev: 620 mm, timeStemp: 6053860497, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:39.859, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -69, Distance: 4719 mm, StdDev: 121 mm, timeStemp: 6053860497, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:39.859, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -59, Distance: 3981 mm, StdDev: 141 mm, timeStemp: 6053860497, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:39.950, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -74, Distance: 4790 mm, StdDev: 152 mm, timeStemp: 6053860588, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:39.950, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -74, Distance: 4790 mm, StdDev: 152 mm, timeStemp: 6053860588, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:39.950, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -48, Distance: 4965 mm, StdDev: 88 mm, timeStemp: 6053860588, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:39.950, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -74, Distance: 4790 mm, StdDev: 152 mm, timeStemp: 6053860588, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:39.950, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -48, Distance: 4965 mm, StdDev: 88 mm, timeStemp: 6053860588, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:39.950, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -69, Distance: 4501 mm, StdDev: 83 mm, timeStemp: 6053860588, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:39.950, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -74, Distance: 4790 mm, StdDev: 152 mm, timeStemp: 6053860588, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:39.950, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -48, Distance: 4965 mm, StdDev: 88 mm, timeStemp: 6053860588, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:39.950, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -69, Distance: 4501 mm, StdDev: 83 mm, timeStemp: 6053860588, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:39.950, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -60, Distance: 4199 mm, StdDev: 139 mm, timeStemp: 6053860588, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:40.074, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -73, Distance: 4920 mm, StdDev: 161 mm, timeStemp: 6053860713, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:40.074, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -73, Distance: 4920 mm, StdDev: 161 mm, timeStemp: 6053860713, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:40.074, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -48, Distance: 3154 mm, StdDev: 84 mm, timeStemp: 6053860712, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:40.074, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -73, Distance: 4920 mm, StdDev: 161 mm, timeStemp: 6053860713, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:40.074, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -48, Distance: 3154 mm, StdDev: 84 mm, timeStemp: 6053860712, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:40.074, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -68, Distance: 4719 mm, StdDev: 117 mm, timeStemp: 6053860712, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:40.074, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -73, Distance: 4920 mm, StdDev: 161 mm, timeStemp: 6053860713, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:40.074, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -48, Distance: 3154 mm, StdDev: 84 mm, timeStemp: 6053860712, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:40.074, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -68, Distance: 4719 mm, StdDev: 117 mm, timeStemp: 6053860712, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:40.074, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -61, Distance: 4165 mm, StdDev: 134 mm, timeStemp: 6053860712, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:40.183, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -58, Distance: 5718 mm, StdDev: 773 mm, timeStemp: 6053860821, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:40.183, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -58, Distance: 5718 mm, StdDev: 773 mm, timeStemp: 6053860821, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:40.183, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -50, Distance: 3096 mm, StdDev: 553 mm, timeStemp: 6053860821, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:40.183, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -58, Distance: 5718 mm, StdDev: 773 mm, timeStemp: 6053860821, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:40.183, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -50, Distance: 3096 mm, StdDev: 553 mm, timeStemp: 6053860821, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:40.183, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -69, Distance: 4380 mm, StdDev: 146 mm, timeStemp: 6053860821, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:40.183, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -58, Distance: 5718 mm, StdDev: 773 mm, timeStemp: 6053860821, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:40.183, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -50, Distance: 3096 mm, StdDev: 553 mm, timeStemp: 6053860821, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:40.183, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -69, Distance: 4380 mm, StdDev: 146 mm, timeStemp: 6053860821, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:40.183, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -61, Distance: 4188 mm, StdDev: 343 mm, timeStemp: 6053860821, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:40.466, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -59, Distance: 4038 mm, StdDev: 1664 mm, timeStemp: 6053861105, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:40.466, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -59, Distance: 4038 mm, StdDev: 1664 mm, timeStemp: 6053861105, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:40.466, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -51, Distance: 2617 mm, StdDev: 485 mm, timeStemp: 6053861104, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:40.466, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -59, Distance: 4038 mm, StdDev: 1664 mm, timeStemp: 6053861105, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:40.466, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -51, Distance: 2617 mm, StdDev: 485 mm, timeStemp: 6053861104, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:40.466, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -65, Distance: 4585 mm, StdDev: 200 mm, timeStemp: 6053861104, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:40.466, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -59, Distance: 4038 mm, StdDev: 1664 mm, timeStemp: 6053861105, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:40.466, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -51, Distance: 2617 mm, StdDev: 485 mm, timeStemp: 6053861104, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:40.466, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -65, Distance: 4585 mm, StdDev: 200 mm, timeStemp: 6053861104, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:40.466, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -63, Distance: 4032 mm, StdDev: 521 mm, timeStemp: 6053861104, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:40.752, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -60, Distance: 5522 mm, StdDev: 925 mm, timeStemp: 6053861387, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:40.752, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -60, Distance: 5522 mm, StdDev: 925 mm, timeStemp: 6053861387, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:40.752, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -53, Distance: 2939 mm, StdDev: 609 mm, timeStemp: 6053861387, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:40.752, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -60, Distance: 5522 mm, StdDev: 925 mm, timeStemp: 6053861387, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:40.752, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -53, Distance: 2939 mm, StdDev: 609 mm, timeStemp: 6053861387, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:40.752, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -65, Distance: 4585 mm, StdDev: 178 mm, timeStemp: 6053861387, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:40.752, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -60, Distance: 5522 mm, StdDev: 925 mm, timeStemp: 6053861387, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:40.752, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -53, Distance: 2939 mm, StdDev: 609 mm, timeStemp: 6053861387, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:40.752, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -65, Distance: 4585 mm, StdDev: 178 mm, timeStemp: 6053861387, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:40.752, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -64, Distance: 4149 mm, StdDev: 500 mm, timeStemp: 6053861387, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:41.031, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -56, Distance: 4321 mm, StdDev: 1401 mm, timeStemp: 6053861666, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:41.031, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -56, Distance: 4321 mm, StdDev: 1401 mm, timeStemp: 6053861666, mcOn: true
Label: 11-8, Timestamp: 2024-12-27 15:44:41.031, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -52, Distance: 2969 mm, StdDev: 455 mm, timeStemp: 6053861666, mcOn: true
