Starting Wi-Fi RTT Ranging...
Label: 10, Timestamp: 2024-11-28 15:08:21.542, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -65, Distance: 10132 mm, StdDev: 229 mm, timeStemp: 3546082181, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:08:21.542, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -64, Distance: 3413 mm, StdDev: 817 mm, timeStemp: 3546082181, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:08:21.542, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -43, Distance: 3 mm, StdDev: 180 mm, timeStemp: 3546082180, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:08:21.735, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -74, Distance: 6928 mm, StdDev: 2553 mm, timeStemp: 3546082374, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:08:21.735, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -74, Distance: 6928 mm, StdDev: 2553 mm, timeStemp: 3546082374, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:08:21.735, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -58, Distance: 9543 mm, StdDev: 1278 mm, timeStemp: 3546082374, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:08:21.735, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -74, Distance: 6928 mm, StdDev: 2553 mm, timeStemp: 3546082374, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:08:21.735, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -58, Distance: 9543 mm, StdDev: 1278 mm, timeStemp: 3546082374, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:08:21.735, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -64, Distance: 3452 mm, StdDev: 724 mm, timeStemp: 3546082374, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:08:21.735, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -74, Distance: 6928 mm, StdDev: 2553 mm, timeStemp: 3546082374, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:08:21.735, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -58, Distance: 9543 mm, StdDev: 1278 mm, timeStemp: 3546082374, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:08:21.735, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -64, Distance: 3452 mm, StdDev: 724 mm, timeStemp: 3546082374, mcOn: true
Starting Wi-Fi RTT Ranging...
Label: 10, Timestamp: 2024-11-28 15:11:17.761, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -70, Distance: 6987 mm, StdDev: 749 mm, timeStemp: 3546258401, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:17.761, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -70, Distance: 6987 mm, StdDev: 749 mm, timeStemp: 3546258401, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:17.761, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -66, Distance: 10591 mm, StdDev: 97 mm, timeStemp: 3546258401, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:17.761, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -70, Distance: 6987 mm, StdDev: 749 mm, timeStemp: 3546258401, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:17.761, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -66, Distance: 10591 mm, StdDev: 97 mm, timeStemp: 3546258401, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:17.761, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -60, Distance: 3618 mm, StdDev: 1118 mm, timeStemp: 3546258401, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:17.761, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -70, Distance: 6987 mm, StdDev: 749 mm, timeStemp: 3546258401, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:17.761, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -66, Distance: 10591 mm, StdDev: 97 mm, timeStemp: 3546258401, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:17.761, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -60, Distance: 3618 mm, StdDev: 1118 mm, timeStemp: 3546258401, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:17.761, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -52, Distance: -504 mm, StdDev: 409 mm, timeStemp: 3546258401, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:17.940, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -70, Distance: 6753 mm, StdDev: 997 mm, timeStemp: 3546258580, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:17.940, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -70, Distance: 6753 mm, StdDev: 997 mm, timeStemp: 3546258580, mcOn: true
