Starting Wi-Fi RTT Ranging...
Label: 38, Timestamp: 2024-12-14 17:56:48.512, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -58, Distance: 3818 mm, StdDev: 876 mm, timeStemp: 4938589150, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:48.512, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -58, Distance: 3818 mm, StdDev: 876 mm, timeStemp: 4938589150, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:48.512, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -58, Distance: 4188 mm, StdDev: 420 mm, timeStemp: 4938589150, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:48.647, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -57, Distance: 3349 mm, StdDev: 924 mm, timeStemp: 4938589285, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:48.647, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -57, Distance: 3349 mm, StdDev: 924 mm, timeStemp: 4938589285, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:48.647, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -59, Distance: 4266 mm, StdDev: 433 mm, timeStemp: 4938589285, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:48.720, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -57, Distance: 3212 mm, StdDev: 839 mm, timeStemp: 4938589359, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:48.720, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -57, Distance: 3212 mm, StdDev: 839 mm, timeStemp: 4938589359, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:48.720, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -59, Distance: 4188 mm, StdDev: 442 mm, timeStemp: 4938589359, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:48.797, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -58, Distance: 3408 mm, StdDev: 966 mm, timeStemp: 4938589434, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:48.797, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -58, Distance: 3408 mm, StdDev: 966 mm, timeStemp: 4938589434, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:48.797, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -61, Distance: 4227 mm, StdDev: 385 mm, timeStemp: 4938589434, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:48.949, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -67, Distance: 3530 mm, StdDev: 623 mm, timeStemp: 4938589578, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:48.949, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -67, Distance: 3530 mm, StdDev: 623 mm, timeStemp: 4938589578, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:48.949, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -58, Distance: 3467 mm, StdDev: 1165 mm, timeStemp: 4938589578, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:48.949, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -67, Distance: 3530 mm, StdDev: 623 mm, timeStemp: 4938589578, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:48.949, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -58, Distance: 3467 mm, StdDev: 1165 mm, timeStemp: 4938589578, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:48.949, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -70, Distance: 4467 mm, StdDev: 156 mm, timeStemp: 4938589578, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:48.949, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -67, Distance: 3530 mm, StdDev: 623 mm, timeStemp: 4938589578, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:48.949, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -58, Distance: 3467 mm, StdDev: 1165 mm, timeStemp: 4938589578, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:48.949, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -70, Distance: 4467 mm, StdDev: 156 mm, timeStemp: 4938589578, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:48.949, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -61, Distance: 4305 mm, StdDev: 414 mm, timeStemp: 4938589578, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.090, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -67, Distance: 3969 mm, StdDev: 332 mm, timeStemp: 4938589724, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.090, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -67, Distance: 3969 mm, StdDev: 332 mm, timeStemp: 4938589724, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.090, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -55, Distance: 3447 mm, StdDev: 1226 mm, timeStemp: 4938589724, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.090, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -67, Distance: 3969 mm, StdDev: 332 mm, timeStemp: 4938589724, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.090, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -55, Distance: 3447 mm, StdDev: 1226 mm, timeStemp: 4938589724, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.090, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -70, Distance: 4468 mm, StdDev: 111 mm, timeStemp: 4938589724, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.090, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -67, Distance: 3969 mm, StdDev: 332 mm, timeStemp: 4938589724, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.090, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -55, Distance: 3447 mm, StdDev: 1226 mm, timeStemp: 4938589724, mcOn: true
