Label,X Position (meters),Y Position (meters),AP1_Distance (mm),AP2_Distance (mm),AP3_Distance (mm),AP4_Distance (mm),AP5_Distance (mm),AP6_Distance (mm),AP7_Distance (mm),AP8_Distance (mm),AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,AP5_Rssi,AP6_Rssi,AP7_Rssi,AP8_Rssi
0,-0.41,15.69,46232.7,20302.5,46407.9,42087.3,49490.85,42619.5,32545.95,45253.95,-67,-36,-69,-71,-76,-61,-55,-72
0,-0.41,15.69,46232.25,20302.65,46409.7,42086.85,49494,42623.4,32541.15,45262.35,-67,-36,-69,-71,-76,-61,-55,-72
0,-0.41,15.69,46231.8,20302.8,46411.65,42086.4,49497.3,42627.3,32536.35,46969.65,-67,-36,-69,-71,-76,-61,-55,-72
0,-0.41,15.69,46230.9,20303.1,46415.1,42085.5,49503.6,42634.95,32526.9,45496.8,-67,-36,-69,-71,-76,-61,-55,-72
0,-0.41,15.69,46230.3,20303.25,46416.9,42084.9,49506.9,42638.7,32522.25,45496.8,-67,-36,-69,-71,-76,-61,-55,-72
0,-0.41,15.69,46229.85,20303.4,46418.7,42084.45,49510.05,42642.6,32517.45,47010,-67,-36,-69,-71,-76,-61,-55,-72
0,-0.41,15.69,46229.4,20303.55,46420.65,42084,49513.35,42646.35,32512.8,46113.15,-67,-36,-69,-71,-76,-61,-55,-72
0,-0.41,15.69,46228.8,20303.7,46422.45,42083.4,49516.5,42650.25,32508,45731.1,-67,-36,-69,-71,-76,-61,-55,-71
0,-0.41,15.69,46228.35,20303.85,46424.1,42082.95,49519.65,42654.15,32503.2,46651.05,-67,-36,-69,-71,-76,-61,-55,-72
0,-0.41,15.69,46227.9,20304,46426.05,42082.5,49522.8,42657.9,32498.55,46654.05,-67,-36,-69,-71,-76,-61,-55,-72
0,-0.41,15.69,46227,20304.15,46429.65,42081.6,49529.25,42665.55,32488.95,47431.05,-67,-36,-69,-71,-76,-61,-55,-72
0,-0.41,15.69,46226.55,20304.3,46431.45,42081.15,49532.4,42669.45,32484.3,47621.4,-67,-36,-69,-71,-76,-61,-55,-72
