Starting Wi-Fi RTT Ranging...
Label: 17, Timestamp: 2024-11-28 14:25:24.560, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -67, Distance: 3061 mm, StdDev: 217 mm, timeStemp: 3543505195, mcOn: true
Label: 17, Timestamp: 2024-11-28 14:25:24.560, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -67, Distance: 3061 mm, StdDev: 217 mm, timeStemp: 3543505195, mcOn: true
Label: 17, Timestamp: 2024-11-28 14:25:24.560, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -63, Distance: 7622 mm, StdDev: 382 mm, timeStemp: 3543505195, mcOn: true
Label: 17, Timestamp: 2024-11-28 14:25:24.560, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -67, Distance: 3061 mm, StdDev: 217 mm, timeStemp: 3543505195, mcOn: true
Label: 17, Timestamp: 2024-11-28 14:25:24.560, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -63, Distance: 7622 mm, StdDev: 382 mm, timeStemp: 3543505195, mcOn: true
Label: 17, Timestamp: 2024-11-28 14:25:24.560, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -61, Distance: 4975 mm, StdDev: 421 mm, timeStemp: 3543505195, mcOn: true
Label: 17, Timestamp: 2024-11-28 14:25:24.560, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -67, Distance: 3061 mm, StdDev: 217 mm, timeStemp: 3543505195, mcOn: true
Label: 17, Timestamp: 2024-11-28 14:25:24.560, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -63, Distance: 7622 mm, StdDev: 382 mm, timeStemp: 3543505195, mcOn: true
Label: 17, Timestamp: 2024-11-28 14:25:24.560, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -61, Distance: 4975 mm, StdDev: 421 mm, timeStemp: 3543505195, mcOn: true
Label: 17, Timestamp: 2024-11-28 14:25:24.560, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -49, Distance: -113 mm, StdDev: 561 mm, timeStemp: 3543505195, mcOn: true
Label: 17, Timestamp: 2024-11-28 14:25:24.657, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -68, Distance: 2827 mm, StdDev: 285 mm, timeStemp: 3543505297, mcOn: true
Label: 17, Timestamp: 2024-11-28 14:25:24.657, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -68, Distance: 2827 mm, StdDev: 285 mm, timeStemp: 3543505297, mcOn: true
Label: 17, Timestamp: 2024-11-28 14:25:24.657, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 7856 mm, StdDev: 266 mm, timeStemp: 3543505297, mcOn: true
Label: 17, Timestamp: 2024-11-28 14:25:24.657, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -68, Distance: 2827 mm, StdDev: 285 mm, timeStemp: 3543505297, mcOn: true
Label: 17, Timestamp: 2024-11-28 14:25:24.657, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 7856 mm, StdDev: 266 mm, timeStemp: 3543505297, mcOn: true
Label: 17, Timestamp: 2024-11-28 14:25:24.657, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -61, Distance: 4897 mm, StdDev: 513 mm, timeStemp: 3543505297, mcOn: true
Label: 17, Timestamp: 2024-11-28 14:25:24.657, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -68, Distance: 2827 mm, StdDev: 285 mm, timeStemp: 3543505297, mcOn: true
Label: 17, Timestamp: 2024-11-28 14:25:24.657, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 7856 mm, StdDev: 266 mm, timeStemp: 3543505297, mcOn: true
Label: 17, Timestamp: 2024-11-28 14:25:24.657, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -61, Distance: 4897 mm, StdDev: 513 mm, timeStemp: 3543505297, mcOn: true
Label: 17, Timestamp: 2024-11-28 14:25:24.657, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -48, Distance: -74 mm, StdDev: 534 mm, timeStemp: 3543505297, mcOn: true
Label: 17, Timestamp: 2024-11-28 14:25:24.802, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -68, Distance: 3178 mm, StdDev: 177 mm, timeStemp: 3543505442, mcOn: true
Label: 17, Timestamp: 2024-11-28 14:25:24.802, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -68, Distance: 3178 mm, StdDev: 177 mm, timeStemp: 3543505442, mcOn: true
Label: 17, Timestamp: 2024-11-28 14:25:24.802, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -63, Distance: 7817 mm, StdDev: 298 mm, timeStemp: 3543505442, mcOn: true
Label: 17, Timestamp: 2024-11-28 14:25:24.802, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -68, Distance: 3178 mm, StdDev: 177 mm, timeStemp: 3543505442, mcOn: true
Label: 17, Timestamp: 2024-11-28 14:25:24.802, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -63, Distance: 7817 mm, StdDev: 298 mm, timeStemp: 3543505442, mcOn: true
Label: 17, Timestamp: 2024-11-28 14:25:24.802, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -63, Distance: 4780 mm, StdDev: 581 mm, timeStemp: 3543505442, mcOn: true
Label: 17, Timestamp: 2024-11-28 14:25:24.802, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -68, Distance: 3178 mm, StdDev: 177 mm, timeStemp: 3543505442, mcOn: true
Label: 17, Timestamp: 2024-11-28 14:25:24.802, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -63, Distance: 7817 mm, StdDev: 298 mm, timeStemp: 3543505442, mcOn: true
Label: 17, Timestamp: 2024-11-28 14:25:24.802, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -63, Distance: 4780 mm, StdDev: 581 mm, timeStemp: 3543505442, mcOn: true
Label: 17, Timestamp: 2024-11-28 14:25:24.802, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -47, Distance: 42 mm, StdDev: 352 mm, timeStemp: 3543505442, mcOn: true
Label: 17, Timestamp: 2024-11-28 14:25:24.941, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -67, Distance: 2905 mm, StdDev: 238 mm, timeStemp: 3543505581, mcOn: true
Label: 17, Timestamp: 2024-11-28 14:25:24.941, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -67, Distance: 2905 mm, StdDev: 238 mm, timeStemp: 3543505581, mcOn: true
Label: 17, Timestamp: 2024-11-28 14:25:24.941, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -65, Distance: 7622 mm, StdDev: 294 mm, timeStemp: 3543505581, mcOn: true
Label: 17, Timestamp: 2024-11-28 14:25:24.941, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -67, Distance: 2905 mm, StdDev: 238 mm, timeStemp: 3543505581, mcOn: true
Label: 17, Timestamp: 2024-11-28 14:25:24.941, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -65, Distance: 7622 mm, StdDev: 294 mm, timeStemp: 3543505581, mcOn: true
Label: 17, Timestamp: 2024-11-28 14:25:24.941, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -63, Distance: 4780 mm, StdDev: 648 mm, timeStemp: 3543505581, mcOn: true
Label: 17, Timestamp: 2024-11-28 14:25:24.941, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -67, Distance: 2905 mm, StdDev: 238 mm, timeStemp: 3543505581, mcOn: true
