Starting Wi-Fi RTT Ranging...
Timestamp: 2024-11-28 15:08:51.114, Ranging failed for one or more APs
Label: 11, Timestamp: 2024-11-28 15:08:51.615, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -74, Distance: 6987 mm, StdDev: 106 mm, timeStemp: 3546112252, mcOn: true
Label: 11, Timestamp: 2024-11-28 15:08:51.615, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 10597 mm, StdDev: 1159 mm, timeStemp: 3546112252, mcOn: true
Label: 11, Timestamp: 2024-11-28 15:08:51.615, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -63, Distance: 4741 mm, StdDev: 809 mm, timeStemp: 3546112252, mcOn: true
Label: 11, Timestamp: 2024-11-28 15:08:51.615, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -74, Distance: 6987 mm, StdDev: 106 mm, timeStemp: 3546112252, mcOn: true
Label: 11, Timestamp: 2024-11-28 15:08:51.615, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 10597 mm, StdDev: 1159 mm, timeStemp: 3546112252, mcOn: true
Label: 11, Timestamp: 2024-11-28 15:08:51.615, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -63, Distance: 4741 mm, StdDev: 809 mm, timeStemp: 3546112252, mcOn: true
Label: 11, Timestamp: 2024-11-28 15:08:51.615, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -47, Distance: -777 mm, StdDev: 851 mm, timeStemp: 3546112252, mcOn: true
Label: 11, Timestamp: 2024-11-28 15:08:51.726, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -74, Distance: 6870 mm, StdDev: 125 mm, timeStemp: 3546112362, mcOn: true
Label: 11, Timestamp: 2024-11-28 15:08:51.726, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -74, Distance: 6870 mm, StdDev: 125 mm, timeStemp: 3546112362, mcOn: true
Label: 11, Timestamp: 2024-11-28 15:08:51.726, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -63, Distance: 11450 mm, StdDev: 681 mm, timeStemp: 3546112362, mcOn: true
Label: 11, Timestamp: 2024-11-28 15:08:51.726, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -74, Distance: 6870 mm, StdDev: 125 mm, timeStemp: 3546112362, mcOn: true
Label: 11, Timestamp: 2024-11-28 15:08:51.726, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -63, Distance: 11450 mm, StdDev: 681 mm, timeStemp: 3546112362, mcOn: true
Label: 11, Timestamp: 2024-11-28 15:08:51.726, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -64, Distance: 5014 mm, StdDev: 778 mm, timeStemp: 3546112362, mcOn: true
Label: 11, Timestamp: 2024-11-28 15:08:51.726, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -74, Distance: 6870 mm, StdDev: 125 mm, timeStemp: 3546112362, mcOn: true
Label: 11, Timestamp: 2024-11-28 15:08:51.726, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -63, Distance: 11450 mm, StdDev: 681 mm, timeStemp: 3546112362, mcOn: true
Label: 11, Timestamp: 2024-11-28 15:08:51.726, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -64, Distance: 5014 mm, StdDev: 778 mm, timeStemp: 3546112362, mcOn: true
Label: 11, Timestamp: 2024-11-28 15:08:51.726, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -47, Distance: -699 mm, StdDev: 798 mm, timeStemp: 3546112362, mcOn: true
Label: 11, Timestamp: 2024-11-28 15:08:51.833, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -74, Distance: 6811 mm, StdDev: 175 mm, timeStemp: 3546112469, mcOn: true
Label: 11, Timestamp: 2024-11-28 15:08:51.833, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -74, Distance: 6811 mm, StdDev: 175 mm, timeStemp: 3546112469, mcOn: true
Label: 11, Timestamp: 2024-11-28 15:08:51.833, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 8996 mm, StdDev: 2592 mm, timeStemp: 3546112469, mcOn: true
Label: 11, Timestamp: 2024-11-28 15:08:51.833, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -74, Distance: 6811 mm, StdDev: 175 mm, timeStemp: 3546112469, mcOn: true
Label: 11, Timestamp: 2024-11-28 15:08:51.833, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 8996 mm, StdDev: 2592 mm, timeStemp: 3546112469, mcOn: true
Label: 11, Timestamp: 2024-11-28 15:08:51.833, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -63, Distance: 4819 mm, StdDev: 764 mm, timeStemp: 3546112469, mcOn: true
Label: 11, Timestamp: 2024-11-28 15:08:51.833, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -74, Distance: 6811 mm, StdDev: 175 mm, timeStemp: 3546112469, mcOn: true
Label: 11, Timestamp: 2024-11-28 15:08:51.833, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 8996 mm, StdDev: 2592 mm, timeStemp: 3546112469, mcOn: true
