Starting Wi-Fi RTT Ranging...
Label: demo nonmc, Timestamp: 2024-11-10 13:38:00.726, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -65, Distance: 59497 mm, StdDev: 14248 mm, timeStemp: 1985457198, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:00.726, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -65, Distance: 59497 mm, StdDev: 14248 mm, timeStemp: 1985457198, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:00.726, AP SSID: MCSLab_Wi-Fi_RTT_1, BSSID: d8:6c:63:dc:96:53, Rssi: -74, Distance: 10722 mm, StdDev: 753 mm, timeStemp: 1985457198, mcOn: true
Timestamp: 2024-11-10 13:38:00.776, Ranging failed for one or more APs
Label: demo nonmc, Timestamp: 2024-11-10 13:38:00.776, AP SSID: MCSLab_Wi-Fi_RTT_1, BSSID: d8:6c:63:dc:96:53, Rssi: -73, Distance: 10640 mm, StdDev: 717 mm, timeStemp: 1985457246, mcOn: true
Label: demo nonmc, Timestamp: 2024-11-10 13:38:00.954, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -64, Distance: 68872 mm, StdDev: 8332 mm, timeStemp: 1985457427, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:00.999, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -65, Distance: 51060 mm, StdDev: 11092 mm, timeStemp: 1985457473, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:00.999, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -65, Distance: 51060 mm, StdDev: 11092 mm, timeStemp: 1985457473, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:00.999, AP SSID: MCSLab_Wi-Fi_RTT_1, BSSID: d8:6c:63:dc:96:53, Rssi: -68, Distance: 8787 mm, StdDev: 730 mm, timeStemp: 1985457473, mcOn: true
Label: demo nonmc, Timestamp: 2024-11-10 13:38:01.174, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -63, Distance: 66060 mm, StdDev: 9185 mm, timeStemp: 1985457645, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:01.174, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -63, Distance: 66060 mm, StdDev: 9185 mm, timeStemp: 1985457645, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:01.174, AP SSID: MCSLab_Wi-Fi_RTT_1, BSSID: d8:6c:63:dc:96:53, Rssi: -66, Distance: 8390 mm, StdDev: 397 mm, timeStemp: 1985457645, mcOn: true
Label: demo nonmc, Timestamp: 2024-11-10 13:38:01.215, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -61, Distance: 60435 mm, StdDev: 8992 mm, timeStemp: 1985457688, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:01.215, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -61, Distance: 60435 mm, StdDev: 8992 mm, timeStemp: 1985457688, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:01.215, AP SSID: MCSLab_Wi-Fi_RTT_1, BSSID: d8:6c:63:dc:96:53, Rssi: -66, Distance: 8275 mm, StdDev: 183 mm, timeStemp: 1985457688, mcOn: true
Label: demo nonmc, Timestamp: 2024-11-10 13:38:01.408, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -62, Distance: 61372 mm, StdDev: 8332 mm, timeStemp: 1985457881, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:01.408, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -62, Distance: 61372 mm, StdDev: 8332 mm, timeStemp: 1985457881, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:01.408, AP SSID: MCSLab_Wi-Fi_RTT_1, BSSID: d8:6c:63:dc:96:53, Rssi: -66, Distance: 8274 mm, StdDev: 210 mm, timeStemp: 1985457881, mcOn: true
Label: demo nonmc, Timestamp: 2024-11-10 13:38:01.452, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -62, Distance: 62310 mm, StdDev: 11709 mm, timeStemp: 1985457925, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:01.452, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -62, Distance: 62310 mm, StdDev: 11709 mm, timeStemp: 1985457925, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:01.452, AP SSID: MCSLab_Wi-Fi_RTT_1, BSSID: d8:6c:63:dc:96:53, Rssi: -66, Distance: 8231 mm, StdDev: 374 mm, timeStemp: 1985457925, mcOn: true
Label: demo nonmc, Timestamp: 2024-11-10 13:38:01.637, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -61, Distance: 62310 mm, StdDev: 9375 mm, timeStemp: 1985458103, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:01.637, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -61, Distance: 62310 mm, StdDev: 9375 mm, timeStemp: 1985458103, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:01.637, AP SSID: MCSLab_Wi-Fi_RTT_1, BSSID: d8:6c:63:dc:96:53, Rssi: -66, Distance: 8650 mm, StdDev: 491 mm, timeStemp: 1985458102, mcOn: true
Label: demo nonmc, Timestamp: 2024-11-10 13:38:01.697, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -61, Distance: 62778 mm, StdDev: 10344 mm, timeStemp: 1985458164, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:01.697, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -61, Distance: 62778 mm, StdDev: 10344 mm, timeStemp: 1985458164, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:01.697, AP SSID: MCSLab_Wi-Fi_RTT_1, BSSID: d8:6c:63:dc:96:53, Rssi: -67, Distance: 8739 mm, StdDev: 953 mm, timeStemp: 1985458164, mcOn: true
Label: demo nonmc, Timestamp: 2024-11-10 13:38:01.843, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -63, Distance: 62778 mm, StdDev: 10258 mm, timeStemp: 1985458317, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:01.843, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -63, Distance: 62778 mm, StdDev: 10258 mm, timeStemp: 1985458317, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:01.843, AP SSID: MCSLab_Wi-Fi_RTT_1, BSSID: d8:6c:63:dc:96:53, Rssi: -69, Distance: 8442 mm, StdDev: 258 mm, timeStemp: 1985458317, mcOn: true
Label: demo nonmc, Timestamp: 2024-11-10 13:38:01.920, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -64, Distance: 53872 mm, StdDev: 9137 mm, timeStemp: 1985458395, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:01.920, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -64, Distance: 53872 mm, StdDev: 9137 mm, timeStemp: 1985458395, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:01.920, AP SSID: MCSLab_Wi-Fi_RTT_1, BSSID: d8:6c:63:dc:96:53, Rssi: -70, Distance: 8589 mm, StdDev: 99 mm, timeStemp: 1985458395, mcOn: true
Label: demo nonmc, Timestamp: 2024-11-10 13:38:02.081, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -65, Distance: 61372 mm, StdDev: 10397 mm, timeStemp: 1985458555, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:02.081, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -65, Distance: 61372 mm, StdDev: 10397 mm, timeStemp: 1985458555, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:02.081, AP SSID: MCSLab_Wi-Fi_RTT_1, BSSID: d8:6c:63:dc:96:53, Rssi: -71, Distance: 8321 mm, StdDev: 410 mm, timeStemp: 1985458555, mcOn: true
Label: demo nonmc, Timestamp: 2024-11-10 13:38:02.270, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -64, Distance: 62310 mm, StdDev: 4960 mm, timeStemp: 1985458743, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:02.270, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -64, Distance: 62310 mm, StdDev: 4960 mm, timeStemp: 1985458743, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:02.270, AP SSID: MCSLab_Wi-Fi_RTT_1, BSSID: d8:6c:63:dc:96:53, Rssi: -71, Distance: 8242 mm, StdDev: 341 mm, timeStemp: 1985458743, mcOn: true
Label: demo nonmc, Timestamp: 2024-11-10 13:38:02.308, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -65, Distance: 53872 mm, StdDev: 18154 mm, timeStemp: 1985458783, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:02.308, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -65, Distance: 53872 mm, StdDev: 18154 mm, timeStemp: 1985458783, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:02.308, AP SSID: MCSLab_Wi-Fi_RTT_1, BSSID: d8:6c:63:dc:96:53, Rssi: -70, Distance: 8271 mm, StdDev: 330 mm, timeStemp: 1985458783, mcOn: true
Label: demo nonmc, Timestamp: 2024-11-10 13:38:02.501, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -65, Distance: 66997 mm, StdDev: 10226 mm, timeStemp: 1985458976, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:02.501, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -65, Distance: 66997 mm, StdDev: 10226 mm, timeStemp: 1985458976, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:02.501, AP SSID: MCSLab_Wi-Fi_RTT_1, BSSID: d8:6c:63:dc:96:53, Rssi: -71, Distance: 7893 mm, StdDev: 415 mm, timeStemp: 1985458976, mcOn: true
Label: demo nonmc, Timestamp: 2024-11-10 13:38:02.541, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -65, Distance: 62310 mm, StdDev: 10439 mm, timeStemp: 1985459015, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:02.541, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -65, Distance: 62310 mm, StdDev: 10439 mm, timeStemp: 1985459015, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:02.541, AP SSID: MCSLab_Wi-Fi_RTT_1, BSSID: d8:6c:63:dc:96:53, Rssi: -70, Distance: 5899 mm, StdDev: 1242 mm, timeStemp: 1985459015, mcOn: true
Label: demo nonmc, Timestamp: 2024-11-10 13:38:02.618, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -65, Distance: 62310 mm, StdDev: 16665 mm, timeStemp: 1985459090, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:02.618, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -65, Distance: 62310 mm, StdDev: 16665 mm, timeStemp: 1985459090, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:02.618, AP SSID: MCSLab_Wi-Fi_RTT_1, BSSID: d8:6c:63:dc:96:53, Rssi: -68, Distance: 5968 mm, StdDev: 1184 mm, timeStemp: 1985459090, mcOn: true
Label: demo nonmc, Timestamp: 2024-11-10 13:38:02.733, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -66, Distance: 64185 mm, StdDev: 5303 mm, timeStemp: 1985459204, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:02.733, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -66, Distance: 64185 mm, StdDev: 5303 mm, timeStemp: 1985459204, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:02.733, AP SSID: MCSLab_Wi-Fi_RTT_1, BSSID: d8:6c:63:dc:96:53, Rssi: -70, Distance: 5971 mm, StdDev: 1214 mm, timeStemp: 1985459204, mcOn: true
Label: demo nonmc, Timestamp: 2024-11-10 13:38:02.845, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -67, Distance: 59966 mm, StdDev: 6612 mm, timeStemp: 1985459319, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:02.845, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -67, Distance: 59966 mm, StdDev: 6612 mm, timeStemp: 1985459319, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:02.845, AP SSID: MCSLab_Wi-Fi_RTT_1, BSSID: d8:6c:63:dc:96:53, Rssi: -70, Distance: 6084 mm, StdDev: 1095 mm, timeStemp: 1985459319, mcOn: true
Label: demo nonmc, Timestamp: 2024-11-10 13:38:02.953, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -66, Distance: 66528 mm, StdDev: 14394 mm, timeStemp: 1985459427, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:02.953, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -66, Distance: 66528 mm, StdDev: 14394 mm, timeStemp: 1985459427, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:02.953, AP SSID: MCSLab_Wi-Fi_RTT_1, BSSID: d8:6c:63:dc:96:53, Rssi: -71, Distance: 6168 mm, StdDev: 937 mm, timeStemp: 1985459427, mcOn: true
Label: demo nonmc, Timestamp: 2024-11-10 13:38:03.068, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -67, Distance: 63247 mm, StdDev: 18442 mm, timeStemp: 1985459542, mcOn: false
