Label,Timestamp,AP SSID,BSSID,Rssi,Distance (mm),StdDev (mm),timeStemp,mcOn,Corrected Distance (mm)
1-9,2025-01-10 12:42:18.821,MCSLab RTT AP2,24:29:34:e1:ef:d4,-78,10514,97,7252529212,True,10417.886721326926
1-9,2025-01-10 12:42:18.821,MCSLab RTT AP2,24:29:34:e1:ef:d4,-78,10514,97,7252529212,True,10417.886721326926
1-9,2025-01-10 12:42:18.821,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-72,8196,99,7252529212,True,8098.181555153707
1-9,2025-01-10 12:42:18.821,MCSLab RTT AP2,24:29:34:e1:ef:d4,-78,10514,97,7252529212,True,10417.886721326926
1-9,2025-01-10 12:42:18.821,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-72,8196,99,7252529212,True,8098.181555153707
1-9,2025-01-10 12:42:18.821,MCSLab RTT AP1,24:29:34:e2:4c:36,-61,316,58,7252529212,True,266.9946524064171
1-9,2025-01-10 12:42:18.821,MCSLab RTT AP2,24:29:34:e1:ef:d4,-78,10514,97,7252529212,True,10417.886721326926
1-9,2025-01-10 12:42:18.821,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-72,8196,99,7252529212,True,8098.181555153707
1-9,2025-01-10 12:42:18.821,MCSLab RTT AP1,24:29:34:e2:4c:36,-61,316,58,7252529212,True,266.9946524064171
1-9,2025-01-10 12:42:18.821,MCSLab RTT AP3,b0:e4:d5:88:16:86,-61,1805,106,7252529212,True,1704.8796441653585
1-9,2025-01-10 12:42:18.939,MCSLab RTT AP2,24:29:34:e1:ef:d4,-79,13106,125,7252529331,True,12982.180938704558
1-9,2025-01-10 12:42:18.939,MCSLab RTT AP2,24:29:34:e1:ef:d4,-79,13106,125,7252529331,True,12982.180938704558
1-9,2025-01-10 12:42:18.939,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68,7962,74,7252529330,True,7888.68143354903
1-9,2025-01-10 12:42:18.939,MCSLab RTT AP2,24:29:34:e1:ef:d4,-79,13106,125,7252529331,True,12982.180938704558
1-9,2025-01-10 12:42:18.939,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68,7962,74,7252529330,True,7888.68143354903
1-9,2025-01-10 12:42:18.939,MCSLab RTT AP1,24:29:34:e2:4c:36,-57,152,378,7252529330,True,43.59245283018868
1-9,2025-01-10 12:42:18.939,MCSLab RTT AP2,24:29:34:e1:ef:d4,-79,13106,125,7252529331,True,12982.180938704558
1-9,2025-01-10 12:42:18.939,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68,7962,74,7252529330,True,7888.68143354903
1-9,2025-01-10 12:42:18.939,MCSLab RTT AP1,24:29:34:e2:4c:36,-57,152,378,7252529330,True,43.59245283018868
1-9,2025-01-10 12:42:18.939,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63,2207,177,7252529330,True,2043.141359060403
1-9,2025-01-10 12:42:19.058,MCSLab RTT AP2,24:29:34:e1:ef:d4,-72,9038,1344,7252529449,True,7867.987285686766
1-9,2025-01-10 12:42:19.058,MCSLab RTT AP2,24:29:34:e1:ef:d4,-72,9038,1344,7252529449,True,7867.987285686766
1-9,2025-01-10 12:42:19.058,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-73,9033,854,7252529449,True,8252.765146151512
1-9,2025-01-10 12:42:19.058,MCSLab RTT AP2,24:29:34:e1:ef:d4,-72,9038,1344,7252529449,True,7867.987285686766
