Starting Wi-Fi RTT Ranging...
Label: 33, Timestamp: 2024-12-21 16:18:38.231, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -57, Distance: 2822 mm, StdDev: 518 mm, timeStemp: 5537498858, mcOn: true
Label: 33, Timestamp: 2024-12-21 16:18:38.231, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -56, Distance: 2163 mm, StdDev: 383 mm, timeStemp: 5537498858, mcOn: true
Label: 33, Timestamp: 2024-12-21 16:18:38.231, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -68, Distance: 4705 mm, StdDev: 299 mm, timeStemp: 5537498858, mcOn: true
Label: 33, Timestamp: 2024-12-21 16:18:38.343, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -67, Distance: 8725 mm, StdDev: 783 mm, timeStemp: 5537498981, mcOn: true
Label: 33, Timestamp: 2024-12-21 16:18:38.343, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -67, Distance: 8725 mm, StdDev: 783 mm, timeStemp: 5537498981, mcOn: true
Label: 33, Timestamp: 2024-12-21 16:18:38.343, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -55, Distance: 2861 mm, StdDev: 359 mm, timeStemp: 5537498981, mcOn: true
Label: 33, Timestamp: 2024-12-21 16:18:38.343, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -67, Distance: 8725 mm, StdDev: 783 mm, timeStemp: 5537498981, mcOn: true
Label: 33, Timestamp: 2024-12-21 16:18:38.343, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -55, Distance: 2861 mm, StdDev: 359 mm, timeStemp: 5537498981, mcOn: true
Label: 33, Timestamp: 2024-12-21 16:18:38.343, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -55, Distance: 1733 mm, StdDev: 529 mm, timeStemp: 5537498981, mcOn: true
Label: 33, Timestamp: 2024-12-21 16:18:38.343, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -67, Distance: 8725 mm, StdDev: 783 mm, timeStemp: 5537498981, mcOn: true
Label: 33, Timestamp: 2024-12-21 16:18:38.343, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -55, Distance: 2861 mm, StdDev: 359 mm, timeStemp: 5537498981, mcOn: true
Label: 33, Timestamp: 2024-12-21 16:18:38.343, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -55, Distance: 1733 mm, StdDev: 529 mm, timeStemp: 5537498981, mcOn: true
Label: 33, Timestamp: 2024-12-21 16:18:38.343, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -66, Distance: 5047 mm, StdDev: 299 mm, timeStemp: 5537498981, mcOn: true
Label: 33, Timestamp: 2024-12-21 16:18:38.465, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -65, Distance: 6958 mm, StdDev: 1188 mm, timeStemp: 5537499104, mcOn: true
Label: 33, Timestamp: 2024-12-21 16:18:38.465, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -65, Distance: 6958 mm, StdDev: 1188 mm, timeStemp: 5537499104, mcOn: true
Label: 33, Timestamp: 2024-12-21 16:18:38.465, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -58, Distance: 3057 mm, StdDev: 317 mm, timeStemp: 5537499104, mcOn: true
Label: 33, Timestamp: 2024-12-21 16:18:38.465, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -65, Distance: 6958 mm, StdDev: 1188 mm, timeStemp: 5537499104, mcOn: true
