timeStemp,Label,AP1_Distance (mm),AP2_Distance (mm),AP3_Distance (mm),AP4_Distance (mm),AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,AP1_StdDev (mm),AP2_StdDev (mm),AP3_StdDev (mm),AP4_StdDev (mm)
667215113,6-4,,,7197.0,360.0,,,-63.0,-51.0,,,237.0,1790.0
667215125,6-4,,,7314.0,-108.0,,,-59.0,-51.0,,,212.0,1867.0
667215137,6-4,,,7158.0,125.0,,,-63.0,-55.0,,,132.0,583.0
667215148,6-4,,,7627.0,-147.0,,,-62.0,-55.0,,,139.0,721.0
667215160,6-4,,,7158.0,204.0,,,-61.0,-53.0,,,121.0,437.0
667215172,6-4,,,7686.0,8.0,,,-62.0,-50.0,,,1227.0,570.0
667215184,6-4,,,7539.0,-225.0,,,-61.0,-53.0,,,60.0,804.0
667215196,6-4,,,11104.0,8.0,,,-61.0,-52.0,,,911.0,625.0
667215207,6-4,,,,-176.0,,,,-46.0,,,,643.0
667215219,6-4,,,7483.0,-30.0,,,-60.0,-55.0,,,316.0,701.0
667215229,6-4,,,7627.0,203.0,,,-63.0,-55.0,,,131.0,559.0
667215241,6-4,,,7363.0,47.0,,,-64.0,-56.0,,,202.0,552.0
667215253,6-4,,,7471.0,243.0,,,-63.0,-54.0,,,69.0,437.0
667215265,6-4,,,7627.0,-69.0,,,-63.0,-55.0,,,138.0,653.0
667215279,6-4,,,7393.0,-30.0,,,-63.0,-57.0,,,170.0,656.0
667215291,6-4,,,7686.0,86.0,,,-63.0,-56.0,,,138.0,582.0
667215305,6-4,,,7422.0,-144.0,,,-63.0,-54.0,,,112.0,685.0
667215318,6-4,,,7432.0,86.0,,,-63.0,-53.0,,,111.0,664.0
667215331,6-4,,,7598.0,86.0,,,-61.0,-56.0,,,131.0,572.0
667215345,6-4,,,7705.0,-108.0,,,-63.0,-55.0,,,132.0,679.0
667215358,6-4,,,7348.0,47.0,,,-58.0,-57.0,,,294.0,618.0
667215372,6-4,,,7686.0,8.0,,,-62.0,-56.0,,,175.0,652.0
667215386,6-4,,,7471.0,8.0,,,-63.0,-56.0,,,134.0,600.0
667215400,6-4,,,7558.0,-105.0,,,-60.0,-50.0,,,380.0,667.0
667215416,6-4,,,7310.0,-19.0,,,-60.0,-49.0,,,343.0,617.0
667215429,6-4,,,7744.0,47.0,,,-63.0,-55.0,,,144.0,593.0
667215445,6-4,,,7627.0,-488.0,,,-63.0,-49.0,,,48.0,1008.0
667215456,6-4,,,7519.0,47.0,,,-60.0,-57.0,,,496.0,593.0
667215469,6-4,,,7627.0,-69.0,,,-63.0,-55.0,,,155.0,709.0
667215483,6-4,,,,47.0,,,,-55.0,,,,519.0
667215496,6-4,,,7568.0,-108.0,,,-61.0,-56.0,,,553.0,651.0
667215509,6-4,,,7471.0,-10.0,,,-63.0,-53.0,,,148.0,671.0
667215522,6-4,,,7568.0,47.0,,,-63.0,-56.0,,,125.0,563.0
667215534,6-4,,,7627.0,47.0,,,-63.0,-55.0,,,114.0,506.0
667215546,6-4,,,7519.0,8.0,,,-62.0,-55.0,,,138.0,593.0
667215558,6-4,,,,-137.0,,,,-48.0,,,,637.0
667215570,6-4,,,7236.0,-127.0,,,-64.0,-56.0,,,208.0,597.0
667215581,6-4,,,7549.0,-127.0,,,-64.0,-53.0,,,115.0,756.0
667215596,6-4,,,7627.0,-30.0,,,-65.0,-56.0,,,235.0,716.0
667215610,6-4,,,7314.0,-69.0,,,-64.0,-56.0,,,225.0,731.0
667215624,6-4,,,7275.0,-30.0,,,-64.0,-56.0,,,243.0,632.0
667215638,6-4,,,7275.0,-30.0,,,-63.0,-56.0,,,180.0,698.0
667215653,6-4,,,7539.0,-10.0,,,-63.0,-54.0,,,127.0,616.0
667215668,6-4,,,7432.0,8.0,,,-64.0,-50.0,,,163.0,849.0
667215683,6-4,,,7363.0,-69.0,,,-64.0,-56.0,,,203.0,688.0
667215696,6-4,,,7353.0,86.0,,,-63.0,-55.0,,,139.0,584.0
667215711,6-4,,,7275.0,-108.0,,,-63.0,-55.0,,,250.0,670.0
667215727,6-4,,,7354.0,-147.0,,,-63.0,-58.0,,,110.0,730.0
667215739,6-4,,,7192.0,8.0,,,-64.0,-54.0,,,678.0,630.0
667215752,6-4,,,7393.0,8.0,,,-64.0,-56.0,,,121.0,619.0
667215768,6-4,,,7275.0,-69.0,,,-63.0,-55.0,,,230.0,637.0
667215782,6-4,,,7393.0,-30.0,,,-63.0,-55.0,,,170.0,667.0
667215797,6-4,,,7393.0,-108.0,,,-63.0,-57.0,,,163.0,734.0
667215811,6-4,,,7422.0,-30.0,,,-63.0,-57.0,,,57.0,710.0
667215825,6-4,,,7393.0,-30.0,,,-64.0,-57.0,,,171.0,704.0
667215841,6-4,,,7666.0,8.0,,,-63.0,-57.0,,,60.0,646.0
667215855,6-4,,,7402.0,8.0,,,-61.0,-58.0,,,259.0,658.0
667215869,6-4,,,7510.0,-30.0,,,-63.0,-58.0,,,181.0,689.0
667215885,6-4,,,7510.0,-147.0,,,-61.0,-57.0,,,86.0,724.0
667215900,6-4,,,7549.0,8.0,,,-63.0,-57.0,,,125.0,652.0
667215915,6-4,,,7549.0,-69.0,,,-63.0,-57.0,,,158.0,693.0
667215929,6-4,,,7539.0,-40.0,,,-63.0,-55.0,,,100.0,660.0
667215944,6-4,,,7539.0,8.0,,,-63.0,-50.0,,,87.0,634.0
667215957,6-4,,,7549.0,-69.0,,,-63.0,-57.0,,,126.0,677.0
667215971,6-4,,,7568.0,-69.0,,,-63.0,-57.0,,,178.0,646.0
667215984,6-4,,,7393.0,-69.0,,,-63.0,-57.0,,,151.0,707.0
667215997,6-4,,,7656.0,86.0,,,-63.0,-57.0,,,107.0,665.0
667216010,6-4,,,7432.0,-30.0,,,-63.0,-57.0,,,200.0,707.0
667216024,6-4,,,7471.0,-30.0,,,-63.0,-56.0,,,125.0,675.0
667216038,6-4,,,7197.0,-69.0,,,-60.0,-55.0,,,714.0,736.0
667216053,6-4,,,7510.0,-30.0,,,-63.0,-53.0,,,187.0,590.0
667216067,6-4,,,7275.0,47.0,,,-63.0,-54.0,,,160.0,570.0
667216082,6-4,,,7197.0,125.0,,,-64.0,-55.0,,,140.0,583.0
667216096,6-4,,,7471.0,8.0,,,-64.0,-56.0,,,106.0,691.0
667216110,6-4,,,7314.0,-30.0,,,-63.0,-55.0,,,235.0,653.0
667216125,6-4,,,7471.0,-30.0,,,-63.0,-56.0,,,188.0,628.0
667216141,6-4,,,7510.0,-30.0,,,-63.0,-56.0,,,107.0,582.0
667216155,6-4,,,7393.0,-30.0,,,-63.0,-56.0,,,145.0,659.0
667216168,6-4,,,7314.0,8.0,,,-63.0,-53.0,,,109.0,556.0
667216183,6-4,,,7373.0,47.0,,,-61.0,-49.0,,,311.0,621.0
667216198,6-4,,,6266.0,-30.0,,,-60.0,-56.0,,,1338.0,577.0
667216211,6-4,,,7398.0,-108.0,,,-60.0,-56.0,,,363.0,688.0
667216224,6-4,,,7314.0,-69.0,,,-63.0,-56.0,,,197.0,593.0
667216238,6-4,,,7275.0,8.0,,,-63.0,-55.0,,,240.0,553.0
667216253,6-4,,,7353.0,-108.0,,,-63.0,-53.0,,,141.0,630.0
667216268,6-4,,,7353.0,47.0,,,-63.0,-55.0,,,260.0,569.0
667216282,6-4,,,7275.0,-108.0,,,-63.0,-55.0,,,30.0,613.0
667216297,6-4,,,7393.0,-30.0,,,-63.0,-55.0,,,40.0,629.0
667216313,6-4,,,7314.0,8.0,,,-63.0,-55.0,,,269.0,522.0
667216323,6-4,,,7314.0,-30.0,,,-63.0,-55.0,,,86.0,612.0
667216336,6-4,,,7432.0,-449.0,,,-61.0,-48.0,,,162.0,948.0
667216350,6-4,,,7393.0,-69.0,,,-63.0,-55.0,,,144.0,643.0
667216368,6-4,,,7314.0,-69.0,,,-63.0,-57.0,,,227.0,682.0
667216377,6-4,,,7432.0,-30.0,,,-63.0,-56.0,,,97.0,533.0
667216391,6-4,,,7432.0,86.0,,,-64.0,-55.0,,,192.0,523.0
667216407,6-4,,,7353.0,8.0,,,-63.0,-56.0,,,187.0,633.0
667216422,6-4,,,7432.0,-30.0,,,-64.0,-55.0,,,160.0,670.0
667216437,6-4,,,7236.0,-108.0,,,-63.0,-56.0,,,186.0,687.0
667216452,6-4,,,7432.0,47.0,,,-63.0,-57.0,,,144.0,589.0
667216466,6-4,,,7393.0,8.0,,,-64.0,-56.0,,,206.0,619.0
667216480,6-4,,,7192.0,8.0,,,-63.0,-53.0,,,687.0,580.0
667216495,6-4,,,7393.0,8.0,,,-63.0,-55.0,,,150.0,628.0
667216509,6-4,,,7471.0,-108.0,,,-63.0,-55.0,,,152.0,622.0
667216525,6-4,,,7627.0,-1152.0,,,-63.0,-51.0,,,81.0,1550.0
667216538,6-4,,,7686.0,-69.0,,,-64.0,-54.0,,,107.0,593.0
667216554,6-4,,,7656.0,86.0,,,-63.0,-52.0,,,1067.0,577.0
667216571,6-4,,,7656.0,47.0,,,-61.0,-46.0,,,824.0,687.0
667216581,6-4,,,7539.0,-108.0,,,-62.0,-57.0,,,201.0,625.0
667216598,6-4,,,,-69.0,,,,-54.0,,,,688.0
667216609,6-4,,,7568.0,125.0,,,-58.0,-55.0,,,898.0,547.0
667216624,6-4,,,7280.0,201.0,,,-59.0,-54.0,,,598.0,524.0
667216634,6-4,,,7627.0,8.0,,,-63.0,-55.0,,,192.0,593.0
667216648,6-4,,,7773.0,86.0,,,-63.0,-53.0,,,94.0,602.0
667216662,6-4,,,7588.0,164.0,,,-63.0,-54.0,,,126.0,570.0
667216678,6-4,,,7705.0,-30.0,,,-64.0,-54.0,,,137.0,659.0
667216692,6-4,,,7627.0,47.0,,,-64.0,-55.0,,,126.0,616.0
667216706,6-4,,,7627.0,8.0,,,-64.0,-55.0,,,94.0,649.0
667216721,6-4,,,7744.0,-30.0,,,-62.0,-52.0,,,379.0,671.0
667216736,6-4,,,7539.0,8.0,,,-63.0,-54.0,,,87.0,645.0
667216750,6-4,,,7598.0,-30.0,,,-64.0,-54.0,,,194.0,619.0
667216764,6-4,,,7568.0,86.0,,,-58.0,-54.0,,,644.0,602.0
667216778,6-4,,,7627.0,86.0,,,-64.0,-54.0,,,135.0,562.0
667216793,6-4,,,7705.0,164.0,,,-64.0,-55.0,,,175.0,573.0
667216808,6-4,,,7715.0,8.0,,,-64.0,-54.0,,,155.0,640.0
667216822,6-4,,,7539.0,47.0,,,-64.0,-55.0,,,1189.0,587.0
667216838,6-4,,,7627.0,8.0,,,-64.0,-47.0,,,208.0,622.0
667216853,6-4,,,7832.0,-30.0,,,-63.0,-54.0,,,141.0,609.0
