Starting Wi-Fi RTT Ranging...
Label: 4-1, Timestamp: 2024-12-27 16:07:29.929, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -73, Distance: 4858 mm, StdDev: 122 mm, timeStemp: 6055230568, mcOn: true
Label: 4-1, Timestamp: 2024-12-27 16:07:29.929, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -73, Distance: 4858 mm, StdDev: 122 mm, timeStemp: 6055230568, mcOn: true
Label: 4-1, Timestamp: 2024-12-27 16:07:29.929, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 8760 mm, StdDev: 374 mm, timeStemp: 6055230568, mcOn: true
Label: 4-1, Timestamp: 2024-12-27 16:07:29.929, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -73, Distance: 4858 mm, StdDev: 122 mm, timeStemp: 6055230568, mcOn: true
Label: 4-1, Timestamp: 2024-12-27 16:07:29.929, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 8760 mm, StdDev: 374 mm, timeStemp: 6055230568, mcOn: true
Label: 4-1, Timestamp: 2024-12-27 16:07:29.929, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -65, Distance: 3843 mm, StdDev: 550 mm, timeStemp: 6055230568, mcOn: true
Label: 4-1, Timestamp: 2024-12-27 16:07:29.929, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -73, Distance: 4858 mm, StdDev: 122 mm, timeStemp: 6055230568, mcOn: true
Label: 4-1, Timestamp: 2024-12-27 16:07:29.929, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 8760 mm, StdDev: 374 mm, timeStemp: 6055230568, mcOn: true
Label: 4-1, Timestamp: 2024-12-27 16:07:29.929, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -65, Distance: 3843 mm, StdDev: 550 mm, timeStemp: 6055230568, mcOn: true
Label: 4-1, Timestamp: 2024-12-27 16:07:29.929, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -53, Distance: -538 mm, StdDev: 445 mm, timeStemp: 6055230568, mcOn: true
Label: 4-1, Timestamp: 2024-12-27 16:07:30.056, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -73, Distance: 4975 mm, StdDev: 59 mm, timeStemp: 6055230694, mcOn: true
Label: 4-1, Timestamp: 2024-12-27 16:07:30.056, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -73, Distance: 4975 mm, StdDev: 59 mm, timeStemp: 6055230694, mcOn: true
Label: 4-1, Timestamp: 2024-12-27 16:07:30.056, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -61, Distance: 9033 mm, StdDev: 316 mm, timeStemp: 6055230694, mcOn: true
Label: 4-1, Timestamp: 2024-12-27 16:07:30.056, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -73, Distance: 4975 mm, StdDev: 59 mm, timeStemp: 6055230694, mcOn: true
Label: 4-1, Timestamp: 2024-12-27 16:07:30.056, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -61, Distance: 9033 mm, StdDev: 316 mm, timeStemp: 6055230694, mcOn: true
Label: 4-1, Timestamp: 2024-12-27 16:07:30.056, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -64, Distance: 3999 mm, StdDev: 456 mm, timeStemp: 6055230694, mcOn: true
Label: 4-1, Timestamp: 2024-12-27 16:07:30.056, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -73, Distance: 4975 mm, StdDev: 59 mm, timeStemp: 6055230694, mcOn: true
Label: 4-1, Timestamp: 2024-12-27 16:07:30.056, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -61, Distance: 9033 mm, StdDev: 316 mm, timeStemp: 6055230694, mcOn: true
Label: 4-1, Timestamp: 2024-12-27 16:07:30.056, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -64, Distance: 3999 mm, StdDev: 456 mm, timeStemp: 6055230694, mcOn: true
