Starting Wi-Fi RTT Ranging...
Label: 11-8, Timestamp: 2025-02-28 13:38:38.897, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -73, Distance: 3384 mm, StdDev: 100 mm, timeStemp: 340078133, mcOn: true
Label: 11-8, Timestamp: 2025-02-28 13:38:38.897, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -73, Distance: 3384 mm, StdDev: 100 mm, timeStemp: 340078133, mcOn: true
Label: 11-8, Timestamp: 2025-02-28 13:38:38.897, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -60, Distance: 2370 mm, StdDev: 98 mm, timeStemp: 340078133, mcOn: true
Label: 11-8, Timestamp: 2025-02-28 13:38:38.897, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -73, Distance: 3384 mm, StdDev: 100 mm, timeStemp: 340078133, mcOn: true
Label: 11-8, Timestamp: 2025-02-28 13:38:38.897, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -60, Distance: 2370 mm, StdDev: 98 mm, timeStemp: 340078133, mcOn: true
Label: 11-8, Timestamp: 2025-02-28 13:38:38.897, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -67, Distance: 4685 mm, StdDev: 45 mm, timeStemp: 340078133, mcOn: true
Label: 11-8, Timestamp: 2025-02-28 13:38:38.897, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -73, Distance: 3384 mm, StdDev: 100 mm, timeStemp: 340078133, mcOn: true
Label: 11-8, Timestamp: 2025-02-28 13:38:38.897, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -60, Distance: 2370 mm, StdDev: 98 mm, timeStemp: 340078133, mcOn: true
Label: 11-8, Timestamp: 2025-02-28 13:38:38.897, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -67, Distance: 4685 mm, StdDev: 45 mm, timeStemp: 340078133, mcOn: true
Label: 11-8, Timestamp: 2025-02-28 13:38:38.897, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -63, Distance: 4132 mm, StdDev: 160 mm, timeStemp: 340078133, mcOn: true
Label: 11-8, Timestamp: 2025-02-28 13:38:39.008, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -72, Distance: 3664 mm, StdDev: 97 mm, timeStemp: 340078245, mcOn: true
