Starting Wi-Fi RTT Ranging...
Label: 3-11, Timestamp: 2024-12-27 14:14:49.124, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -73, Distance: 7593 mm, StdDev: 74 mm, timeStemp: 6048469762, mcOn: true
Label: 3-11, Timestamp: 2024-12-27 14:14:49.124, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -73, Distance: 7593 mm, StdDev: 74 mm, timeStemp: 6048469762, mcOn: true
Label: 3-11, Timestamp: 2024-12-27 14:14:49.124, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -61, Distance: 6016 mm, StdDev: 107 mm, timeStemp: 6048469762, mcOn: true
Label: 3-11, Timestamp: 2024-12-27 14:14:49.124, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -73, Distance: 7593 mm, StdDev: 74 mm, timeStemp: 6048469762, mcOn: true
Label: 3-11, Timestamp: 2024-12-27 14:14:49.124, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -61, Distance: 6016 mm, StdDev: 107 mm, timeStemp: 6048469762, mcOn: true
Label: 3-11, Timestamp: 2024-12-27 14:14:49.124, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -54, Distance: -1195 mm, StdDev: 488 mm, timeStemp: 6048469762, mcOn: true
Label: 3-11, Timestamp: 2024-12-27 14:14:49.124, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -73, Distance: 7593 mm, StdDev: 74 mm, timeStemp: 6048469762, mcOn: true
Label: 3-11, Timestamp: 2024-12-27 14:14:49.124, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -61, Distance: 6016 mm, StdDev: 107 mm, timeStemp: 6048469762, mcOn: true
Label: 3-11, Timestamp: 2024-12-27 14:14:49.124, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -54, Distance: -1195 mm, StdDev: 488 mm, timeStemp: 6048469762, mcOn: true
Label: 3-11, Timestamp: 2024-12-27 14:14:49.124, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -60, Distance: 4110 mm, StdDev: 533 mm, timeStemp: 6048469762, mcOn: true
Label: 3-11, Timestamp: 2024-12-27 14:14:49.251, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -74, Distance: 7554 mm, StdDev: 137 mm, timeStemp: 6048469890, mcOn: true
Label: 3-11, Timestamp: 2024-12-27 14:14:49.251, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -74, Distance: 7554 mm, StdDev: 137 mm, timeStemp: 6048469890, mcOn: true
