Starting Wi-Fi RTT Ranging...
Label: 39, Timestamp: 2024-12-21 16:29:00.698, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -62, Distance: 4652 mm, StdDev: 1359 mm, timeStemp: 5538121336, mcOn: true
Label: 39, Timestamp: 2024-12-21 16:29:00.698, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -62, Distance: 4652 mm, StdDev: 1359 mm, timeStemp: 5538121336, mcOn: true
Label: 39, Timestamp: 2024-12-21 16:29:00.698, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -49, Distance: 3576 mm, StdDev: 88 mm, timeStemp: 5538121336, mcOn: true
Label: 39, Timestamp: 2024-12-21 16:29:00.698, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -62, Distance: 4652 mm, StdDev: 1359 mm, timeStemp: 5538121336, mcOn: true
Label: 39, Timestamp: 2024-12-21 16:29:00.698, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -49, Distance: 3576 mm, StdDev: 88 mm, timeStemp: 5538121336, mcOn: true
Label: 39, Timestamp: 2024-12-21 16:29:00.698, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -67, Distance: 3706 mm, StdDev: 134 mm, timeStemp: 5538121336, mcOn: true
Label: 39, Timestamp: 2024-12-21 16:29:00.698, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -62, Distance: 4652 mm, StdDev: 1359 mm, timeStemp: 5538121336, mcOn: true
Label: 39, Timestamp: 2024-12-21 16:29:00.698, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -49, Distance: 3576 mm, StdDev: 88 mm, timeStemp: 5538121336, mcOn: true
Label: 39, Timestamp: 2024-12-21 16:29:00.698, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -67, Distance: 3706 mm, StdDev: 134 mm, timeStemp: 5538121336, mcOn: true
Label: 39, Timestamp: 2024-12-21 16:29:00.698, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -61, Distance: 3938 mm, StdDev: 91 mm, timeStemp: 5538121336, mcOn: true
Label: 39, Timestamp: 2024-12-21 16:29:00.814, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -62, Distance: 5840 mm, StdDev: 153 mm, timeStemp: 5538121453, mcOn: true
Label: 39, Timestamp: 2024-12-21 16:29:00.814, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -62, Distance: 5840 mm, StdDev: 153 mm, timeStemp: 5538121453, mcOn: true
Label: 39, Timestamp: 2024-12-21 16:29:00.814, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -49, Distance: 3760 mm, StdDev: 165 mm, timeStemp: 5538121453, mcOn: true
Label: 39, Timestamp: 2024-12-21 16:29:00.814, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -62, Distance: 5840 mm, StdDev: 153 mm, timeStemp: 5538121453, mcOn: true
Label: 39, Timestamp: 2024-12-21 16:29:00.814, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -49, Distance: 3760 mm, StdDev: 165 mm, timeStemp: 5538121453, mcOn: true
Label: 39, Timestamp: 2024-12-21 16:29:00.814, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -67, Distance: 3940 mm, StdDev: 195 mm, timeStemp: 5538121453, mcOn: true
Label: 39, Timestamp: 2024-12-21 16:29:00.814, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -62, Distance: 5840 mm, StdDev: 153 mm, timeStemp: 5538121453, mcOn: true
Label: 39, Timestamp: 2024-12-21 16:29:00.814, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -49, Distance: 3760 mm, StdDev: 165 mm, timeStemp: 5538121453, mcOn: true
Label: 39, Timestamp: 2024-12-21 16:29:00.814, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -67, Distance: 3940 mm, StdDev: 195 mm, timeStemp: 5538121453, mcOn: true
Label: 39, Timestamp: 2024-12-21 16:29:00.814, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -53, Distance: 3897 mm, StdDev: 519 mm, timeStemp: 5538121453, mcOn: true
Label: 39, Timestamp: 2024-12-21 16:29:00.929, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -62, Distance: 1391 mm, StdDev: 926 mm, timeStemp: 5538121568, mcOn: true
Label: 39, Timestamp: 2024-12-21 16:29:00.929, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -62, Distance: 1391 mm, StdDev: 926 mm, timeStemp: 5538121568, mcOn: true
Label: 39, Timestamp: 2024-12-21 16:29:00.929, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -48, Distance: 3793 mm, StdDev: 121 mm, timeStemp: 5538121568, mcOn: true
Label: 39, Timestamp: 2024-12-21 16:29:00.929, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -62, Distance: 1391 mm, StdDev: 926 mm, timeStemp: 5538121568, mcOn: true
Label: 39, Timestamp: 2024-12-21 16:29:00.929, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -48, Distance: 3793 mm, StdDev: 121 mm, timeStemp: 5538121568, mcOn: true
Label: 39, Timestamp: 2024-12-21 16:29:00.929, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -68, Distance: 9712 mm, StdDev: 97 mm, timeStemp: 5538121568, mcOn: true
Label: 39, Timestamp: 2024-12-21 16:29:00.929, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -62, Distance: 1391 mm, StdDev: 926 mm, timeStemp: 5538121568, mcOn: true
Label: 39, Timestamp: 2024-12-21 16:29:00.929, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -48, Distance: 3793 mm, StdDev: 121 mm, timeStemp: 5538121568, mcOn: true
Label: 39, Timestamp: 2024-12-21 16:29:00.929, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -68, Distance: 9712 mm, StdDev: 97 mm, timeStemp: 5538121568, mcOn: true
Label: 39, Timestamp: 2024-12-21 16:29:00.929, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -53, Distance: 3672 mm, StdDev: 337 mm, timeStemp: 5538121568, mcOn: true
Label: 39, Timestamp: 2024-12-21 16:29:01.044, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -61, Distance: 3647 mm, StdDev: 322 mm, timeStemp: 5538121682, mcOn: true
Label: 39, Timestamp: 2024-12-21 16:29:01.044, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -61, Distance: 3647 mm, StdDev: 322 mm, timeStemp: 5538121682, mcOn: true
Label: 39, Timestamp: 2024-12-21 16:29:01.044, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -50, Distance: 3877 mm, StdDev: 87 mm, timeStemp: 5538121682, mcOn: true
Label: 39, Timestamp: 2024-12-21 16:29:01.044, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -61, Distance: 3647 mm, StdDev: 322 mm, timeStemp: 5538121682, mcOn: true
Label: 39, Timestamp: 2024-12-21 16:29:01.044, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -50, Distance: 3877 mm, StdDev: 87 mm, timeStemp: 5538121682, mcOn: true
Label: 39, Timestamp: 2024-12-21 16:29:01.044, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -66, Distance: 3725 mm, StdDev: 1345 mm, timeStemp: 5538121682, mcOn: true
Label: 39, Timestamp: 2024-12-21 16:29:01.044, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -61, Distance: 3647 mm, StdDev: 322 mm, timeStemp: 5538121682, mcOn: true
