Starting Wi-Fi RTT Ranging...
Label: 17, Timestamp: 2024-12-21 15:51:15.744, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -63, Distance: 8486 mm, StdDev: 178 mm, timeStemp: 5535856383, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.744, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -65, Distance: 5014 mm, StdDev: 865 mm, timeStemp: 5535856383, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.744, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -48, Distance: -655 mm, StdDev: 902 mm, timeStemp: 5535856383, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.871, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -65, Distance: 2944 mm, StdDev: 798 mm, timeStemp: 5535856510, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.871, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -65, Distance: 2944 mm, StdDev: 798 mm, timeStemp: 5535856510, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.871, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 8486 mm, StdDev: 193 mm, timeStemp: 5535856510, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.871, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -65, Distance: 2944 mm, StdDev: 798 mm, timeStemp: 5535856510, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.871, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 8486 mm, StdDev: 193 mm, timeStemp: 5535856510, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.871, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -67, Distance: 5600 mm, StdDev: 287 mm, timeStemp: 5535856510, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.871, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -65, Distance: 2944 mm, StdDev: 798 mm, timeStemp: 5535856510, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.871, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 8486 mm, StdDev: 193 mm, timeStemp: 5535856510, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.871, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -67, Distance: 5600 mm, StdDev: 287 mm, timeStemp: 5535856510, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.871, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -46, Distance: -421 mm, StdDev: 616 mm, timeStemp: 5535856510, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.993, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -70, Distance: 2905 mm, StdDev: 580 mm, timeStemp: 5535856632, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.993, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -70, Distance: 2905 mm, StdDev: 580 mm, timeStemp: 5535856632, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.993, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -61, Distance: 8147 mm, StdDev: 318 mm, timeStemp: 5535856632, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.993, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -70, Distance: 2905 mm, StdDev: 580 mm, timeStemp: 5535856632, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.993, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -61, Distance: 8147 mm, StdDev: 318 mm, timeStemp: 5535856632, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.993, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -66, Distance: 5639 mm, StdDev: 724 mm, timeStemp: 5535856632, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.993, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -70, Distance: 2905 mm, StdDev: 580 mm, timeStemp: 5535856632, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.993, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -61, Distance: 8147 mm, StdDev: 318 mm, timeStemp: 5535856632, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.993, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -66, Distance: 5639 mm, StdDev: 724 mm, timeStemp: 5535856632, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.993, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -47, Distance: -694 mm, StdDev: 691 mm, timeStemp: 5535856632, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:16.116, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -66, Distance: 3217 mm, StdDev: 766 mm, timeStemp: 5535856756, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:16.116, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -66, Distance: 3217 mm, StdDev: 766 mm, timeStemp: 5535856756, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:16.116, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -63, Distance: 8213 mm, StdDev: 237 mm, timeStemp: 5535856755, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:16.116, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -66, Distance: 3217 mm, StdDev: 766 mm, timeStemp: 5535856756, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:16.116, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -63, Distance: 8213 mm, StdDev: 237 mm, timeStemp: 5535856755, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:16.116, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -66, Distance: 4897 mm, StdDev: 240 mm, timeStemp: 5535856755, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:16.116, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -66, Distance: 3217 mm, StdDev: 766 mm, timeStemp: 5535856756, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:16.116, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -63, Distance: 8213 mm, StdDev: 237 mm, timeStemp: 5535856755, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:16.116, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -66, Distance: 4897 mm, StdDev: 240 mm, timeStemp: 5535856755, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:16.116, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -47, Distance: -499 mm, StdDev: 701 mm, timeStemp: 5535856755, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:16.240, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -66, Distance: 3100 mm, StdDev: 693 mm, timeStemp: 5535856879, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:16.240, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -66, Distance: 3100 mm, StdDev: 693 mm, timeStemp: 5535856879, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:16.240, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -63, Distance: 8096 mm, StdDev: 390 mm, timeStemp: 5535856879, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:16.240, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -66, Distance: 3100 mm, StdDev: 693 mm, timeStemp: 5535856879, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:16.240, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -63, Distance: 8096 mm, StdDev: 390 mm, timeStemp: 5535856879, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:16.240, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -66, Distance: 5317 mm, StdDev: 149 mm, timeStemp: 5535856879, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:16.240, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -66, Distance: 3100 mm, StdDev: 693 mm, timeStemp: 5535856879, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:16.240, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -63, Distance: 8096 mm, StdDev: 390 mm, timeStemp: 5535856879, mcOn: true
