Starting Wi-Fi RTT Ranging...
Label: 8-11, Timestamp: 2025-01-10 12:56:01.824, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -64, Distance: 6108 mm, StdDev: 501 mm, timeStemp: 7253352217, mcOn: true
Label: 8-11, Timestamp: 2025-01-10 12:56:01.824, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -64, Distance: 6108 mm, StdDev: 501 mm, timeStemp: 7253352217, mcOn: true
Label: 8-11, Timestamp: 2025-01-10 12:56:01.824, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -51, Distance: 3721 mm, StdDev: 476 mm, timeStemp: 7253352217, mcOn: true
Label: 8-11, Timestamp: 2025-01-10 12:56:01.824, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -64, Distance: 6108 mm, StdDev: 501 mm, timeStemp: 7253352217, mcOn: true
Label: 8-11, Timestamp: 2025-01-10 12:56:01.824, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -51, Distance: 3721 mm, StdDev: 476 mm, timeStemp: 7253352217, mcOn: true
Label: 8-11, Timestamp: 2025-01-10 12:56:01.824, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -57, Distance: 874 mm, StdDev: 278 mm, timeStemp: 7253352217, mcOn: true
Label: 8-11, Timestamp: 2025-01-10 12:56:01.824, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -64, Distance: 6108 mm, StdDev: 501 mm, timeStemp: 7253352217, mcOn: true
Label: 8-11, Timestamp: 2025-01-10 12:56:01.824, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -51, Distance: 3721 mm, StdDev: 476 mm, timeStemp: 7253352217, mcOn: true
Label: 8-11, Timestamp: 2025-01-10 12:56:01.824, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -57, Distance: 874 mm, StdDev: 278 mm, timeStemp: 7253352217, mcOn: true
Label: 8-11, Timestamp: 2025-01-10 12:56:01.824, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -65, Distance: 4422 mm, StdDev: 752 mm, timeStemp: 7253352217, mcOn: true
Label: 8-11, Timestamp: 2025-01-10 12:56:01.951, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -63, Distance: 5903 mm, StdDev: 472 mm, timeStemp: 7253352342, mcOn: true
