Starting Wi-Fi RTT Ranging...
Label: 1-3, Timestamp: 2025-01-10 12:34:10.449, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -48, Distance: 8 mm, StdDev: 792 mm, timeStemp: 7252040841, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:10.569, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 10400 mm, StdDev: 433 mm, timeStemp: 7252040961, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:10.569, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 10400 mm, StdDev: 433 mm, timeStemp: 7252040961, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:10.569, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -49, Distance: 125 mm, StdDev: 354 mm, timeStemp: 7252040961, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:10.688, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 10127 mm, StdDev: 771 mm, timeStemp: 7252041078, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:10.688, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 10127 mm, StdDev: 771 mm, timeStemp: 7252041078, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:10.688, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -45, Distance: 282 mm, StdDev: 248 mm, timeStemp: 7252041078, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:10.799, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 10010 mm, StdDev: 945 mm, timeStemp: 7252041191, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:10.799, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 10010 mm, StdDev: 945 mm, timeStemp: 7252041191, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:10.799, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -44, Distance: 8 mm, StdDev: 633 mm, timeStemp: 7252041191, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:10.920, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -63, Distance: 10518 mm, StdDev: 1428 mm, timeStemp: 7252041311, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:10.920, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -63, Distance: 10518 mm, StdDev: 1428 mm, timeStemp: 7252041311, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:10.920, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -45, Distance: 253 mm, StdDev: 734 mm, timeStemp: 7252041311, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:11.050, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -63, Distance: 10361 mm, StdDev: 754 mm, timeStemp: 7252041439, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:11.050, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -63, Distance: 10361 mm, StdDev: 754 mm, timeStemp: 7252041439, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:11.050, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -52, Distance: 203 mm, StdDev: 103 mm, timeStemp: 7252041439, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:11.183, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 9932 mm, StdDev: 794 mm, timeStemp: 7252041572, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:11.183, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 9932 mm, StdDev: 794 mm, timeStemp: 7252041572, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:11.183, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -50, Distance: -30 mm, StdDev: 490 mm, timeStemp: 7252041572, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:11.313, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 10127 mm, StdDev: 1147 mm, timeStemp: 7252041703, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:11.313, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 10127 mm, StdDev: 1147 mm, timeStemp: 7252041703, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:11.313, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -52, Distance: 8 mm, StdDev: 561 mm, timeStemp: 7252041703, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:11.442, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 9971 mm, StdDev: 1295 mm, timeStemp: 7252041831, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:11.442, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 9971 mm, StdDev: 1295 mm, timeStemp: 7252041831, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:11.442, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -45, Distance: -225 mm, StdDev: 656 mm, timeStemp: 7252041831, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:11.573, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -63, Distance: 10166 mm, StdDev: 1416 mm, timeStemp: 7252041963, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:11.573, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -63, Distance: 10166 mm, StdDev: 1416 mm, timeStemp: 7252041963, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:11.573, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -47, Distance: -264 mm, StdDev: 433 mm, timeStemp: 7252041963, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:11.700, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -61, Distance: 10049 mm, StdDev: 1492 mm, timeStemp: 7252042087, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:11.700, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -61, Distance: 10049 mm, StdDev: 1492 mm, timeStemp: 7252042087, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:11.700, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -46, Distance: 125 mm, StdDev: 153 mm, timeStemp: 7252042087, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:11.836, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -63, Distance: 9944 mm, StdDev: 1553 mm, timeStemp: 7252042223, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:11.836, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -63, Distance: 9944 mm, StdDev: 1553 mm, timeStemp: 7252042223, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:11.836, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -45, Distance: -225 mm, StdDev: 409 mm, timeStemp: 7252042223, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:11.971, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -64, Distance: 10322 mm, StdDev: 1351 mm, timeStemp: 7252042358, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:11.971, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -64, Distance: 10322 mm, StdDev: 1351 mm, timeStemp: 7252042358, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:11.971, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -47, Distance: -108 mm, StdDev: 299 mm, timeStemp: 7252042358, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:12.109, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -64, Distance: 9971 mm, StdDev: 1394 mm, timeStemp: 7252042495, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:12.109, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -64, Distance: 9971 mm, StdDev: 1394 mm, timeStemp: 7252042495, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:12.109, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -42, Distance: -840 mm, StdDev: 867 mm, timeStemp: 7252042495, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:12.241, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -64, Distance: 10283 mm, StdDev: 1371 mm, timeStemp: 7252042627, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:12.241, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -64, Distance: 10283 mm, StdDev: 1371 mm, timeStemp: 7252042627, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:12.241, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -46, Distance: -108 mm, StdDev: 299 mm, timeStemp: 7252042627, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:12.396, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -64, Distance: 10166 mm, StdDev: 1486 mm, timeStemp: 7252042783, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:12.396, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -64, Distance: 10166 mm, StdDev: 1486 mm, timeStemp: 7252042783, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:12.396, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -46, Distance: -30 mm, StdDev: 289 mm, timeStemp: 7252042783, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:12.556, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 10127 mm, StdDev: 1421 mm, timeStemp: 7252042925, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:12.556, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 10127 mm, StdDev: 1421 mm, timeStemp: 7252042925, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:12.556, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -43, Distance: -147 mm, StdDev: 304 mm, timeStemp: 7252042925, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:12.702, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -64, Distance: 10205 mm, StdDev: 1423 mm, timeStemp: 7252043089, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:12.702, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -64, Distance: 10205 mm, StdDev: 1423 mm, timeStemp: 7252043089, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:12.702, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -45, Distance: -69 mm, StdDev: 285 mm, timeStemp: 7252043088, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:12.838, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 10100 mm, StdDev: 1464 mm, timeStemp: 7252043224, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:12.838, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 10100 mm, StdDev: 1464 mm, timeStemp: 7252043224, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:12.838, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -44, Distance: -127 mm, StdDev: 286 mm, timeStemp: 7252043224, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:13.018, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -59, Distance: 9977 mm, StdDev: 1542 mm, timeStemp: 7252043399, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:13.018, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -59, Distance: 9977 mm, StdDev: 1542 mm, timeStemp: 7252043399, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:13.018, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -46, Distance: -69 mm, StdDev: 313 mm, timeStemp: 7252043398, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:13.083, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -64, Distance: 10010 mm, StdDev: 1493 mm, timeStemp: 7252043477, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:13.083, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -64, Distance: 10010 mm, StdDev: 1493 mm, timeStemp: 7252043477, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:13.083, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -46, Distance: -30 mm, StdDev: 324 mm, timeStemp: 7252043477, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:13.204, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -64, Distance: 10166 mm, StdDev: 1414 mm, timeStemp: 7252043594, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:13.204, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -64, Distance: 10166 mm, StdDev: 1414 mm, timeStemp: 7252043594, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:13.204, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -46, Distance: -69 mm, StdDev: 315 mm, timeStemp: 7252043594, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:13.346, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 10049 mm, StdDev: 1453 mm, timeStemp: 7252043734, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:13.346, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 10049 mm, StdDev: 1453 mm, timeStemp: 7252043734, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:13.346, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -46, Distance: -108 mm, StdDev: 334 mm, timeStemp: 7252043734, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:13.479, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -64, Distance: 10166 mm, StdDev: 1417 mm, timeStemp: 7252043867, mcOn: true
