Starting Wi-Fi RTT Ranging...
Label: 6-7, Timestamp: 2025-01-10 13:47:09.091, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -72, Distance: 4292 mm, StdDev: 101 mm, timeStemp: 7256419483, mcOn: true
Label: 6-7, Timestamp: 2025-01-10 13:47:09.091, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -72, Distance: 4292 mm, StdDev: 101 mm, timeStemp: 7256419483, mcOn: true
Label: 6-7, Timestamp: 2025-01-10 13:47:09.091, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -59, Distance: 6865 mm, StdDev: 425 mm, timeStemp: 7256419483, mcOn: true
Label: 6-7, Timestamp: 2025-01-10 13:47:09.091, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -72, Distance: 4292 mm, StdDev: 101 mm, timeStemp: 7256419483, mcOn: true
Label: 6-7, Timestamp: 2025-01-10 13:47:09.091, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -59, Distance: 6865 mm, StdDev: 425 mm, timeStemp: 7256419483, mcOn: true
Label: 6-7, Timestamp: 2025-01-10 13:47:09.091, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -53, Distance: 1538 mm, StdDev: 2277 mm, timeStemp: 7256419483, mcOn: true
Label: 6-7, Timestamp: 2025-01-10 13:47:09.091, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -72, Distance: 4292 mm, StdDev: 101 mm, timeStemp: 7256419483, mcOn: true
Label: 6-7, Timestamp: 2025-01-10 13:47:09.091, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -59, Distance: 6865 mm, StdDev: 425 mm, timeStemp: 7256419483, mcOn: true
Label: 6-7, Timestamp: 2025-01-10 13:47:09.091, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -53, Distance: 1538 mm, StdDev: 2277 mm, timeStemp: 7256419483, mcOn: true
Label: 6-7, Timestamp: 2025-01-10 13:47:09.091, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -62, Distance: 2215 mm, StdDev: 563 mm, timeStemp: 7256419483, mcOn: true
Label: 6-7, Timestamp: 2025-01-10 13:47:09.217, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -74, Distance: 3940 mm, StdDev: 272 mm, timeStemp: 7256419610, mcOn: true
Label: 6-7, Timestamp: 2025-01-10 13:47:09.217, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -74, Distance: 3940 mm, StdDev: 272 mm, timeStemp: 7256419610, mcOn: true
Label: 6-7, Timestamp: 2025-01-10 13:47:09.217, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -58, Distance: 7480 mm, StdDev: 399 mm, timeStemp: 7256419610, mcOn: true
Label: 6-7, Timestamp: 2025-01-10 13:47:09.217, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -74, Distance: 3940 mm, StdDev: 272 mm, timeStemp: 7256419610, mcOn: true
Label: 6-7, Timestamp: 2025-01-10 13:47:09.217, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -58, Distance: 7480 mm, StdDev: 399 mm, timeStemp: 7256419610, mcOn: true
Label: 6-7, Timestamp: 2025-01-10 13:47:09.217, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -53, Distance: 1772 mm, StdDev: 1818 mm, timeStemp: 7256419610, mcOn: true
Label: 6-7, Timestamp: 2025-01-10 13:47:09.217, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -74, Distance: 3940 mm, StdDev: 272 mm, timeStemp: 7256419610, mcOn: true
Label: 6-7, Timestamp: 2025-01-10 13:47:09.217, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -58, Distance: 7480 mm, StdDev: 399 mm, timeStemp: 7256419610, mcOn: true
Label: 6-7, Timestamp: 2025-01-10 13:47:09.217, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -53, Distance: 1772 mm, StdDev: 1818 mm, timeStemp: 7256419610, mcOn: true
Label: 6-7, Timestamp: 2025-01-10 13:47:09.217, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -69, Distance: 1610 mm, StdDev: 151 mm, timeStemp: 7256419610, mcOn: true
Label: 6-7, Timestamp: 2025-01-10 13:47:09.341, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -72, Distance: 4389 mm, StdDev: 218 mm, timeStemp: 7256419734, mcOn: true
Label: 6-7, Timestamp: 2025-01-10 13:47:09.341, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -72, Distance: 4389 mm, StdDev: 218 mm, timeStemp: 7256419734, mcOn: true
Label: 6-7, Timestamp: 2025-01-10 13:47:09.341, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -59, Distance: 7900 mm, StdDev: 633 mm, timeStemp: 7256419733, mcOn: true
Label: 6-7, Timestamp: 2025-01-10 13:47:09.341, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -72, Distance: 4389 mm, StdDev: 218 mm, timeStemp: 7256419734, mcOn: true
Label: 6-7, Timestamp: 2025-01-10 13:47:09.341, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -59, Distance: 7900 mm, StdDev: 633 mm, timeStemp: 7256419733, mcOn: true
Label: 6-7, Timestamp: 2025-01-10 13:47:09.341, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -54, Distance: 1303 mm, StdDev: 1376 mm, timeStemp: 7256419734, mcOn: true
Label: 6-7, Timestamp: 2025-01-10 13:47:09.341, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -72, Distance: 4389 mm, StdDev: 218 mm, timeStemp: 7256419734, mcOn: true
